element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
69140,55,51,43,1205,0,2,4,17,0,0,0,2,0,0,2,242,277.2,45.5,155.0,47.9
98745,55,52,44,1156,1,0,4,18,0,0,0,2,0,0,4,204,187.8,76.9,103.0,37.0
111457,55,52,55,1694,0,2,4,26,0,0,0,4,0,0,1,331,269.6,182.5,81.0,53.0
154043,50,45,41,1382,0,2,3,22,0,0,0,4,1,0,3,244,301.8,182.0,58.0,53.6
39476,50,48,57,1696,2,0,4,25,0,0,0,6,0,0,5,305,436.2,36.8,110.0,58.5
38411,50,50,10,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0
51507,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
233963,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
80254,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
156074,45,44,16,580,0,0,1,9,0,0,0,1,0,0,2,96,133.6,4.8,19.0,15.8
54694,110,109,205,3136,22,5,10,44,0,0,0,3,1,0,37,807,1006.0,479.6,1369.0,285.2
59966,95,92,118,1867,10,7,5,25,0,0,0,8,0,0,16,387,536.4,337.7,861.0,173.8
205533,45,43,25,628,2,0,3,9,0,0,0,0,1,0,1,66,90.4,67.0,210.0,36.4
80201,50,48,114,2649,0,0,7,39,0,1,0,2,0,113,10,591,843.2,0.0,0.0,84.1
37605,75,69,53,1439,1,3,5,20,0,0,0,1,0,0,1,256,223.6,582.9,190.0,99.8
57249,70,67,4,110,0,0,1,0,0,0,0,1,0,0,0,3,5.4,33.9,46.0,8.6
84450,55,51,73,2586,1,2,10,31,0,0,0,10,0,0,2,408,486.2,298.5,110.0,89.9
198849,50,47,46,1501,1,1,3,23,0,0,0,7,0,0,0,247,281.8,207.1,207.0,69.7
153256,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
242166,45,41,48,1744,0,2,3,31,0,0,0,6,0,0,2,272,333.6,235.1,146.0,71.6
41270,60,57,94,2809,2,1,8,42,0,0,0,5,2,0,10,494,701.6,106.7,211.0,102.1
98980,45,44,33,770,0,0,3,9,0,0,0,2,0,34,1,169,256.8,0.0,0.0,25.8
101184,45,43,42,1102,1,1,3,15,0,0,0,5,0,0,5,197,272.0,113.5,203.0,58.7
182539,55,52,57,1687,0,2,7,21,0,0,0,1,0,0,3,310,346.4,439.9,130.0,91.7
58822,50,48,61,1553,1,1,4,20,0,0,0,1,0,0,3,286,349.0,218.9,118.0,68.7
195735,95,89,106,2004,5,6,5,30,0,0,0,4,0,0,9,353,500.2,639.4,624.0,176.5
200641,55,53,30,622,1,1,2,7,0,0,0,1,0,0,0,105,110.4,148.3,185.0,44.4
