name,GW,fixture,opponent_team,goals_scored,assists,bonus,bps,red_cards,penalties_saved,penalties_missed,clean_sheets,saves,goals_conceded,yellow_cards,minutes,total_points,team_a_score,team_h_score,position,was_home,team_h_difficulty,team_a_difficulty,opponent_goals,difficulty,form
Aaron_Connolly_534,4,37,11,0,0,0,1,0,0,0,0,0,1,0,24,0,0,4,4,0,2,4,10.0,4,0.0
Aaron_Connolly_534,5,43,5,0,0,0,2,0,0,0,0,0,2,0,30,1,1,5,4,1,3,2,5.0,3,0.25
Aaron_Connolly_534,6,58,13,0,0,0,3,0,0,0,0,0,2,0,50,2,1,5,4,0,2,2,4.0,2,0.5
Aaron_Connolly_534,7,63,6,0,0,0,5,0,0,0,0,0,3,0,75,3,1,7,4,0,2,4,12.0,4,0.75
Aaron_Connolly_534,8,72,17,2,0,3,58,0,0,0,1,0,3,0,154,4,1,10,4,1,3,2,14.0,3,1.0
Aaron_Connolly_534,9,81,2,2,0,3,61,0,0,0,1,0,4,0,199,17,2,12,4,0,2,2,13.0,2,4.0
Aaron_Connolly_534,10,92,8,2,2,3,83,0,0,0,1,0,6,0,278,18,4,15,4,1,2,2,8.0,2,4.0
Aaron_Connolly_534,11,104,14,2,2,3,85,0,0,0,2,0,6,0,363,26,4,17,4,1,2,2,11.0,2,5.75
Aaron_Connolly_534,12,115,12,2,2,3,80,0,0,0,2,0,8,0,408,28,5,20,4,0,2,4,13.0,4,6.0
Aaron_Connolly_534,14,134,10,2,2,3,79,0,0,0,2,0,10,0,483,29,6,22,4,0,2,5,30.0,5,2.75
Aaron_Connolly_534,15,141,1,2,2,3,83,0,0,0,2,0,11,0,558,31,8,23,4,0,2,4,20.0,4,1.25
Aaron_Connolly_534,18,173,15,2,2,3,82,0,0,0,2,0,11,0,603,33,9,23,4,1,3,2,21.0,3,1.0
Aaron_Connolly_534,19,189,17,2,2,3,83,0,0,0,2,0,12,0,670,34,10,25,4,0,2,4,32.0,4,0.75
Aaron_Connolly_534,21,202,6,2,2,3,82,0,0,0,2,0,12,0,715,36,11,26,4,1,4,2,35.0,4,0.75
Aaron_Connolly_534,23,222,2,2,2,3,86,0,0,0,3,0,12,0,782,37,12,27,4,1,2,2,28.0,2,0.75
Aaron_Connolly_534,24,232,3,2,2,3,87,0,0,0,3,0,13,0,812,39,13,30,4,0,2,2,20.0,2,0.75
Aaron_Connolly_534,27,268,15,2,2,3,90,0,0,0,3,0,13,0,827,40,14,31,4,0,2,3,28.0,3,0.75
Aaron_Connolly_534,30,293,1,2,3,3,106,0,0,0,3,0,13,0,846,41,15,33,4,1,3,2,40.0,3,0.25
Aaron_Connolly_534,31,303,9,2,3,3,111,0,0,0,4,0,13,0,927,45,15,33,4,0,2,3,59.0,3,1.25
Aaron_Connolly_534,32,314,12,2,3,3,115,0,0,0,4,0,16,0,1013,47,18,33,4,1,4,2,48.0,4,1.5
Aaron_Connolly_534,33,327,14,2,3,3,120,0,0,0,5,0,16,0,1084,49,19,33,4,0,2,2,25.0,2,2.0
Aaron_Connolly_534,34,334,10,2,3,3,120,0,0,0,5,0,17,0,1103,51,22,34,4,1,4,2,72.0,4,2.5
Aaron_Connolly_534,35,343,11,2,3,3,119,0,0,0,5,0,21,0,1161,52,27,34,4,1,4,2,86.0,4,1.75
Aaron_Connolly_534,38,372,5,3,3,5,146,0,0,0,5,0,22,0,1250,53,29,35,4,0,2,3,42.0,3,0.5
Aaron_Cresswell_376,1,8,11,0,0,0,7,0,0,0,0,0,5,0,90,0,5,0,2,1,4,2,0.0,4,0.0
Aaron_Cresswell_376,6,60,12,1,0,2,34,0,0,0,1,0,5,0,180,0,5,2,2,1,4,2,8.0,4,0.0
Aaron_Cresswell_376,7,62,3,2,0,2,54,0,0,0,1,0,7,0,270,14,7,4,2,0,2,2,11.0,2,3.5
Aaron_Cresswell_376,8,80,7,2,0,2,70,0,0,0,1,0,8,0,353,21,9,5,2,1,3,2,6.0,3,5.25
Aaron_Cresswell_376,10,100,15,2,0,2,80,0,0,0,1,0,9,0,443,23,10,6,2,1,3,2,8.0,3,5.75
Aaron_Cresswell_376,11,110,13,2,0,2,91,0,0,0,1,0,12,1,533,25,13,8,2,1,2,2,6.0,2,2.75
Aaron_Cresswell_376,12,111,5,2,0,2,101,0,0,0,1,0,15,1,623,25,13,11,2,0,2,3,14.0,3,1.0
Aaron_Cresswell_376,13,130,17,2,0,2,113,0,0,0,1,0,18,1,713,26,16,13,2,1,3,2,18.0,3,0.75
Aaron_Cresswell_376,14,132,6,3,0,5,149,0,0,0,2,0,18,2,803,27,17,13,2,0,2,4,28.0,4,1.0
Aaron_Cresswell_376,15,146,20,3,0,5,156,0,0,0,2,0,20,3,893,41,17,15,2,0,2,3,19.0,3,4.0
Aaron_Cresswell_376,16,160,1,3,0,5,157,0,0,0,2,0,20,4,943,41,20,16,2,1,3,2,21.0,3,4.0
Aaron_Cresswell_376,17,169,16,3,0,5,176,0,0,0,3,0,20,4,1033,41,21,16,2,0,2,2,18.0,2,3.75
Aaron_Cresswell_376,19,184,7,3,0,5,193,0,0,0,3,0,22,5,1123,47,22,18,2,0,2,3,15.0,3,1.5
Aaron_Cresswell_376,21,210,3,3,0,5,212,0,0,0,4,0,22,6,1213,47,22,22,2,1,2,2,20.0,2,1.5
Aaron_Cresswell_376,22,218,15,3,0,5,228,0,0,0,4,0,23,6,1303,52,22,23,2,0,2,3,23.0,3,1.25
Aaron_Cresswell_376,23,230,8,3,0,5,244,0,0,0,4,0,24,6,1393,54,23,24,2,1,2,2,25.0,2,1.75
Aaron_Cresswell_376,24,180,10,3,0,5,255,0,0,0,4,0,26,6,1483,56,25,24,2,1,4,2,52.0,4,2.25
Aaron_Cresswell_376,24,234,9,3,0,5,264,0,0,0,4,0,30,6,1573,57,26,28,2,0,2,3,48.0,3,2.5
Aaron_Cresswell_376,25,250,4,3,0,5,279,0,0,0,4,0,33,6,1663,57,29,31,2,1,2,2,27.0,2,1.25
Aaron_Cresswell_376,26,256,11,3,0,5,292,0,0,0,4,0,35,6,1753,58,29,33,2,0,2,4,65.0,4,1.0
Aaron_Cresswell_376,27,266,10,3,0,5,302,0,0,0,4,0,38,6,1843,59,31,36,2,0,2,5,61.0,5,0.75
Aaron_Cresswell_376,28,280,16,3,0,5,309,0,0,0,4,0,39,7,1933,60,32,39,2,1,3,2,34.0,3,0.75
Aaron_Cresswell_376,29,281,1,3,0,5,319,0,0,0,4,0,40,7,2023,61,32,40,2,0,2,4,39.0,4,1.0
Aaron_Cresswell_376,30,300,20,3,0,5,332,0,0,0,4,0,42,7,2113,63,34,40,2,1,4,2,41.0,4,1.25
Aaron_Cresswell_376,31,309,17,3,0,5,349,0,0,0,4,0,44,7,2203,64,34,42,2,0,2,4,48.0,4,1.25
Aaron_Cresswell_376,32,320,6,3,0,5,358,0,0,0,4,0,46,7,2293,65,36,45,2,1,4,2,55.0,4,1.25
Aaron_Cresswell_376,33,326,13,3,0,5,374,0,0,0,4,0,48,7,2383,66,38,47,2,0,2,2,33.0,2,1.25
Aaron_Cresswell_376,34,340,5,3,0,5,389,0,0,0,4,0,49,7,2473,67,39,47,2,1,3,2,37.0,3,1.0
Aaron_Cresswell_376,35,346,14,3,0,5,416,0,0,0,5,0,49,7,2563,69,43,47,2,0,2,2,26.0,2,1.25
Aaron_Cresswell_376,36,360,18,3,0,5,432,0,0,0,5,0,50,7,2653,75,44,50,2,1,2,2,33.0,2,2.5
Aaron_Cresswell_376,37,365,12,3,0,5,444,0,0,0,5,0,51,7,2727,77,45,51,2,0,2,4,63.0,4,2.75
Aaron_Lennon_430,1,3,16,0,0,0,3,0,0,0,0,0,0,0,6,0,0,3,3,1,3,3,0.0,3,0.0
Aaron_Lennon_430,2,11,1,0,0,0,7,0,0,0,0,0,0,0,24,1,1,5,3,0,3,4,1.0,4,1.0
Aaron_Lennon_430,3,30,20,0,0,0,8,0,0,0,0,0,1,1,48,2,2,6,3,0,3,3,1.0,3,1.0
Aaron_Lennon_430,4,32,10,0,0,0,15,0,0,0,0,0,4,1,138,2,5,6,3,1,4,3,9.0,4,0.6666666666666666
Aaron_Lennon_430,5,43,4,0,0,0,12,0,0,0,0,0,5,2,196,4,6,7,3,0,3,2,4.0,2,1.0
Aaron_Lennon_430,6,52,14,0,0,0,15,0,0,0,0,0,5,2,207,4,6,9,3,1,2,3,9.0,2,0.75
Aaron_Lennon_430,8,73,8,0,0,0,18,0,0,0,0,0,5,2,213,5,6,10,3,1,2,3,6.0,2,0.75
Aaron_Lennon_430,9,86,9,0,0,0,21,0,0,0,0,0,6,2,238,6,7,12,3,0,3,3,14.0,3,0.5
Aaron_Lennon_430,14,131,7,0,0,0,26,0,0,0,0,0,7,2,251,7,9,12,3,1,3,3,11.0,3,0.0
Aaron_Lennon_430,15,142,11,0,0,0,36,0,0,0,0,0,11,2,341,8,13,13,3,1,4,3,39.0,4,0.25
Aaron_Lennon_430,16,158,17,0,0,0,38,0,0,0,0,0,12,2,360,10,13,18,3,0,3,4,25.0,4,0.75
Aaron_Lennon_430,18,172,3,0,0,0,39,0,0,0,0,0,12,2,385,11,14,18,3,0,3,2,19.0,2,1.0
Aaron_Lennon_430,22,213,6,0,0,0,46,0,0,0,0,0,15,3,475,12,14,21,3,0,3,4,36.0,4,0.25
Aaron_Lennon_430,23,223,9,0,0,0,49,0,0,0,0,0,15,3,476,13,15,23,3,1,3,3,47.0,3,0.25
Aaron_Lennon_430,27,262,3,0,0,0,48,0,0,0,0,0,15,4,484,14,15,26,3,1,2,3,26.0,2,0.25
Aaron_Lennon_430,29,282,17,0,0,0,51,0,0,0,0,0,15,4,485,14,16,27,3,1,3,3,46.0,3,0.0
Aaron_Mooy_516,2,13,19,0,0,0,3,0,0,0,0,0,0,0,5,0,1,1,3,1,2,2,0.0,2,0.0
Aaron_Mooy_516,5,43,5,0,0,0,7,0,0,0,0,0,1,0,15,1,2,2,3,1,3,2,5.0,3,0.25
Aaron_Mooy_516,6,58,13,0,0,0,20,0,0,0,1,0,1,0,84,2,2,2,3,0,2,2,4.0,2,0.5
