,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
0,0.0,0.0,69140,0,0,-4,4,0,2,0.0,0.0,0,Shkodran,0.0,1,False,Hamstring injury - Expected back 31 Oct,2020-07-18T22:30:20.553834Z,51,69140.jpg,2.9,Mustafi,0.4,False,,i,1,3,43,25007,0,47630,0,0.0,8.4,Mustafi,1205,0,2,4,17,0,0,0,2,0,0,2,242,277.2,45.5,155.0,47.9,257,100,352,122,234,58,313,106
1,100.0,100.0,98745,0,0,-3,3,0,2,2.3,0.5,0,Héctor,0.0,2,False,,2019-12-09T20:00:21.228098Z,52,98745.jpg,2.9,Bellerín,1.0,False,,a,1,3,44,206616,0,159819,0,0.0,8.5,Bellerín,1156,1,0,4,18,0,0,0,2,0,0,4,204,187.8,76.9,103.0,37.0,322,124,301,95,275,81,339,122
2,100.0,100.0,111457,0,0,-3,3,0,2,3.3,1.5,1,Sead,1.0,3,False,,2020-02-23T18:30:13.672943Z,52,111457.jpg,2.1,Kolasinac,0.5,False,,a,1,3,55,65194,0,134275,0,0.2,10.6,Kolasinac,1694,0,2,4,26,0,0,0,4,0,0,1,331,269.6,182.5,81.0,53.0,264,104,215,52,305,98,293,96
3,100.0,100.0,154043,0,0,-5,5,1,2,0.8,1.2,1,Ainsley,0.7,4,False,,2019-09-22T18:00:10.824841Z,45,154043.jpg,2.0,Maitland-Niles,2.2,False,,a,1,3,41,610816,0,653555,0,0.2,9.1,Maitland-Niles,1382,0,2,3,22,0,0,0,4,1,0,3,244,301.8,182.0,58.0,53.6,241,94,216,53,337,119,287,94
4,100.0,100.0,39476,0,0,-2,2,1,2,0.5,0.5,0,Sokratis,0.0,5,False,,2020-06-18T18:00:15.974146Z,48,39476.jpg,3.0,Papastathopoulos,1.3,False,,a,1,3,57,182201,0,231413,0,0.0,11.9,Sokratis,1696,2,0,4,25,0,0,0,6,0,0,5,305,436.2,36.8,110.0,58.5,166,62,365,130,266,76,275,88
5,0.0,0.0,38411,0,0,0,0,0,2,0.0,0.0,0,Nacho,0.0,6,False,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,38411.jpg,3.3,Monreal,0.2,False,,u,1,3,10,28283,0,89310,0,0.0,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0,424,160,358,126,412,152,423,156
6,0.0,0.0,51507,0,0,0,0,0,2,0.0,0.0,0,Laurent,0.0,7,False,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,51507.jpg,0.0,Koscielny,0.1,False,,u,1,3,0,782,0,12898,0,0.0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,647,221,643,221,639,220,649,221
7,0.0,0.0,233963,0,0,-2,2,0,2,0.0,0.0,0,Konstantinos,0.0,8,False,Joined Stuttgart on loan until the end of the season on 16/7. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,43,233963.jpg,0.0,Mavropanos,0.0,False,,n,1,3,0,1185,0,5056,0,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,585,217,572,217,552,211,587,217
8,0.0,0.0,80254,0,0,0,0,0,2,0.0,0.0,0,Carl,0.0,9,False,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,80254.jpg,0.0,Jenkinson,0.0,False,,u,1,3,0,534,0,2720,0,0.0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,599,218,590,218,575,214,602,218
9,100.0,100.0,156074,0,0,-1,1,0,2,1.3,1.8,0,Rob,1.3,10,False,,2019-12-09T10:00:19.335279Z,44,156074.jpg,2.0,Holding,0.2,False,,a,1,3,16,28501,0,22667,0,0.3,3.6,Holding,580,0,0,1,9,0,0,0,1,0,0,2,96,133.6,4.8,19.0,15.8,355,138,441,164,396,145,407,150
10,100.0,100.0,54694,0,0,-1,1,5,4,5.7,6.8,16,Pierre-Emerick,6.3,11,True,,2020-01-08T14:00:18.333339Z,109,54694.jpg,5.7,Aubameyang,22.4,False,,a,1,3,205,3870546,0,4120318,0,0.6,18.8,Aubameyang,3136,22,5,10,44,0,0,0,3,1,0,37,807,1006.0,479.6,1369.0,285.2,9,3,61,5,9,7,11,5
11,100.0,100.0,59966,0,0,-3,3,2,4,5.5,5.8,4,Alexandre,5.3,12,False,,2019-09-01T18:30:14.246208Z,92,59966.jpg,3.9,Lacazette,2.4,False,,a,1,3,118,458912,0,551879,0,0.6,12.8,Lacazette,1867,10,7,5,25,0,0,0,8,0,0,16,387,536.4,337.7,861.0,173.8,112,15,124,19,35,19,50,19
12,100.0,100.0,205533,0,0,-2,2,0,4,1.0,1.5,1,Edward,1.0,13,False,,2020-07-07T22:00:20.841098Z,43,205533.jpg,1.9,Nketiah,1.6,False,,a,1,3,25,338091,0,333897,0,0.2,5.8,Nketiah,628,2,0,3,9,0,0,0,0,1,0,1,66,90.4,67.0,210.0,36.4,389,48,319,49,191,52,340,51
13,100.0,0.0,80201,0,0,-2,2,1,1,0.0,0.0,0,Bernd,0.0,14,False,,2020-06-20T16:00:17.901135Z,48,80201.jpg,3.8,Leno,4.2,False,,a,1,3,114,737120,0,865543,0,0.0,23.8,Leno,2649,0,0,7,39,0,1,0,2,0,113,10,591,843.2,0.0,0.0,84.1,25,8,635,66,629,63,190,8
14,100.0,100.0,37605,0,0,-6,6,0,3,0.5,0.5,0,Mesut,0.0,15,False,,2020-06-28T19:30:23.392750Z,69,37605.jpg,2.9,Özil,1.1,False,,a,1,3,53,246324,0,307866,0,0.0,7.7,Özil,1439,1,3,5,20,0,0,0,1,0,0,1,256,223.6,582.9,190.0,99.8,300,126,39,32,205,110,153,79
15,100.0,0.0,57249,0,0,-3,3,0,3,0.0,0.0,0,Henrikh,0.0,16,False,,2019-09-02T23:30:14.832021Z,67,57249.jpg,1.3,Mkhitaryan,0.7,False,,a,1,3,4,23270,0,117383,0,0.0,0.6,Mkhitaryan,110,0,0,1,0,0,0,0,1,0,0,0,3,5.4,33.9,46.0,8.6,480,203,371,184,355,170,431,185
16,100.0,100.0,84450,0,0,-4,4,0,3,4.0,1.5,1,Granit,1.0,18,False,,2020-06-17T22:00:16.575871Z,51,84450.jpg,2.4,Xhaka,0.8,False,,a,1,3,73,82616,0,138134,0,0.2,14.3,Xhaka,2586,1,2,10,31,0,0,0,10,0,0,2,408,486.2,298.5,110.0,89.9,140,53,140,86,267,136,177,90
17,100.0,100.0,198849,0,0,-3,3,0,3,0.7,0.8,1,Lucas,0.3,19,False,,2020-06-19T01:30:19.551092Z,47,198849.jpg,1.6,Torreira,1.0,False,,a,1,3,46,100266,0,181492,0,0.1,9.8,Torreira,1501,1,1,3,23,0,0,0,7,0,0,0,247,281.8,207.1,207.0,69.7,254,103,194,122,195,104,234,115
18,100.0,0.0,153256,0,0,-3,3,6,3,0.0,0.0,0,Mohamed,0.0,20,False,,2019-08-31T11:30:14.714406Z,42,153256.jpg,0.0,Elneny,0.5,False,,a,1,3,0,131138,0,132596,0,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,567,219,551,220,525,209,569,222
19,,,242166,0,0,-4,4,0,3,0.5,0.5,0,Matteo,0.0,21,False,,,41,242166.jpg,2.0,Guendouzi,7.1,False,,a,1,3,48,1307827,0,1222099,0,0.0,11.7,Guendouzi,1744,0,2,3,31,0,0,0,6,0,0,2,272,333.6,235.1,146.0,71.6,222,90,177,111,240,126,225,112
20,100.0,100.0,41270,0,0,-3,3,2,2,3.3,1.8,1,David,1.3,106,False,,2020-06-28T16:30:14.772979Z,57,41270.jpg,2.8,Luiz Moreira Marinho,5.1,False,,a,1,3,94,352377,0,653363,0,0.2,16.5,David Luiz,2809,2,1,8,42,0,0,0,5,2,0,10,494,701.6,106.7,211.0,102.1,53,18,271,78,190,37,148,39
21,,,98980,0,0,-1,1,0,1,4.3,2.8,1,Emiliano,2.3,427,False,,,44,98980.jpg,3.7,Martínez,3.8,False,,a,1,3,33,313870,0,59208,0,0.5,7.5,Martínez,770,0,0,3,9,0,0,0,2,0,34,1,169,256.8,0.0,0.0,25.8,272,23,575,56,557,51,372,23
22,0.0,0.0,101184,0,0,-2,2,0,2,0.0,0.0,0,Calum,0.0,467,False,Knee injury - Unknown return date,2019-12-29T14:30:27.183032Z,43,101184.jpg,3.0,Chambers,0.6,False,,i,1,3,42,140667,0,173873,0,0.0,9.8,Chambers,1102,1,1,3,15,0,0,0,5,0,0,5,197,272.0,113.5,203.0,58.7,261,103,262,74,199,41,274,87
23,100.0,100.0,182539,0,0,-3,3,1,3,2.7,1.8,2,Daniel,1.3,469,False,,2019-11-06T17:30:16.584319Z,52,182539.jpg,2.4,Ceballos Fernández,3.0,False,,a,1,3,57,1033759,0,1167278,0,0.2,11.0,Ceballos,1687,0,2,7,21,0,0,0,1,0,0,3,310,346.4,439.9,130.0,91.7,215,88,79,55,250,129,172,86
24,100.0,100.0,58822,0,0,-2,2,0,2,3.5,1.8,0,Cédric,1.3,486,False,,2020-06-19T23:30:18.204187Z,48,58822.jpg,2.9,Soares,0.4,False,,a,1,3,61,41000,0,41620,0,0.3,12.7,Cédric,1553,1,1,4,20,0,0,0,1,0,0,3,286,349.0,218.9,118.0,68.7,214,81,186,42,265,75,237,70
25,100.0,100.0,195735,0,0,-6,6,2,3,1.3,2.2,2,Nicolas,1.7,488,False,,2019-12-11T12:30:12.556688Z,89,195735.jpg,3.4,Pépé,3.0,False,,a,1,3,106,689014,0,853519,0,0.2,11.9,Pépé,2004,5,6,5,30,0,0,0,4,0,0,9,353,500.2,639.4,624.0,176.5,135,49,29,23,57,30,49,27
26,100.0,100.0,200641,0,0,-2,2,0,3,1.8,2.8,1,Reiss,2.3,489,False,,2020-01-18T17:00:23.535651Z,53,200641.jpg,1.8,Nelson,0.1,False,,a,1,3,30,15306,0,20711,0,0.4,5.7,Nelson,622,1,1,2,7,0,0,0,1,0,0,0,105,110.4,148.3,185.0,44.4,373,155,241,141,210,114,320,144
27,100.0,100.0,200089,0,0,-3,3,0,3,1.8,1.2,1,Joseph,0.7,490,False,,2019-09-07T11:30:17.190466Z,47,200089.jpg,1.4,Willock,0.2,False,,a,1,3,41,31416,0,36008,0,0.1,8.7,Willock,838,1,1,1,16,0,0,0,2,0,0,0,150,176.8,165.9,212.0,55.2,329,139,224,134,188,102,282,136
28,0.0,0.0,444145,0,0,-3,3,0,4,0.0,0.0,0,Gabriel Teodoro,0.0,504,False,Knee injury - Expected back 31 Dec,2020-06-24T13:00:17.558412Z,42,444145.jpg,2.8,Martinelli Silva,1.8,False,,i,1,3,39,580876,0,557782,0,0.0,9.3,Martinelli,656,3,1,2,9,0,0,0,1,0,0,5,129,162.8,36.6,226.0,42.5,337,41,366,54,177,49,327,48
29,100.0,100.0,192895,0,0,-2,2,1,2,3.2,5.2,11,Kieran,4.7,515,False,,2019-12-09T22:00:21.790216Z,53,192895.jpg,2.8,Tierney,1.1,False,,a,1,3,42,152178,0,129342,0,0.9,7.9,Tierney,986,1,2,2,16,0,0,0,2,0,0,4,213,201.8,121.1,73.0,39.8,312,120,258,71,317,107,333,118
30,100.0,100.0,223340,0,0,2,-2,0,3,3.7,1.5,0,Bukayo,1.0,541,False,,2020-02-02T17:00:24.409161Z,47,223340.jpg,2.7,Saka,5.7,False,,a,1,3,71,947293,0,528048,0,0.2,15.1,Saka,1746,1,6,7,18,0,0,0,6,0,0,4,259,327.2,322.5,248.0,89.8,227,92,129,81,164,95,179,92
31,100.0,0.0,209289,0,0,-2,2,0,3,0.0,0.0,0,Emile,0.0,576,False,,2020-01-10T20:00:21.634861Z,43,209289.jpg,2.0,Smith Rowe,0.0,False,,a,1,3,4,5984,0,4456,0,0.0,0.9,Smith Rowe,96,0,0,1,0,0,0,0,0,0,0,0,13,9.8,6.3,0.0,1.6,467,195,435,197,546,217,482,202
32,100.0,0.0,232233,0,0,-1,1,0,4,0.0,0.0,0,Tyreece,0.0,585,False,,2020-01-16T10:30:19.626655Z,44,232233.jpg,0.0,John-Jules,0.0,False,,a,1,3,0,1056,0,875,0,0.0,0.0,John-Jules,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,595,78,585,79,569,77,598,78
33,0.0,0.0,92371,0,0,-6,6,0,2,0.0,0.0,0,Pablo,0.0,617,False,Ankle injury - Expected back 25 Sep,2020-06-17T22:00:17.468334Z,44,92371.jpg,4.0,Marí,0.0,False,,i,1,3,8,13720,0,12437,0,0.0,1.8,Marí,113,0,0,1,0,0,0,0,0,0,0,1,31,27.8,1.7,0.0,3.0,445,167,457,173,556,212,467,172
34,,,209037,0,0,0,0,0,2,0.5,0.5,0,Zech,0.0,636,False,,,40,209037.jpg,0.0,Medley,0.0,False,,a,1,3,0,2330,0,992,0,0.0,0.0,Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,534,198,516,199,485,190,536,198
35,,,113534,0,0,0,0,0,1,0.5,0.5,0,Matt,0.0,646,False,,,40,113534.jpg,0.0,Macey,0.0,False,,a,1,3,0,2144,0,725,0,0.0,0.0,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,528,44,510,23,479,15,530,44
36,,,232241,0,0,0,0,0,2,0.5,0.5,0,Matthew,0.0,647,False,,,40,232241.jpg,0.0,Smith,0.0,False,,a,1,3,0,1167,0,454,0,0.0,0.0,Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,540,202,522,203,491,194,542,202
37,100.0,0.0,37339,0,0,-4,4,0,2,0.0,0.0,0,Ahmed,0.7,22,False,,2020-07-21T21:30:23.752198Z,41,37339.jpg,2.2,El Mohamady,1.0,False,,a,2,7,39,113346,0,177996,0,0.2,9.5,El Mohamady,1024,1,1,2,28,0,0,0,1,0,0,7,224,254.6,324.1,67.0,64.6,273,109,127,29,324,110,253,78
38,100.0,0.0,43252,0,0,-3,3,0,2,0.0,0.0,0,James,0.0,23,False,,2020-01-31T15:00:12.372885Z,42,43252.jpg,0.0,Chester,0.0,False,,a,2,7,0,2107,0,8480,0,0.0,0.0,Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,561,210,545,211,518,204,563,210
39,100.0,75.0,47390,0,0,-3,3,0,2,0.6,0.0,0,Neil,0.0,24,False,,2020-07-12T16:00:17.086537Z,42,47390.jpg,1.6,Taylor,0.2,False,,a,2,7,22,27109,0,32888,0,0.0,5.2,Taylor,1088,0,0,2,25,0,0,0,2,0,0,0,163,157.6,79.7,29.0,26.7,341,132,297,93,374,135,368,133
40,100.0,100.0,123354,0,0,-1,1,1,2,0.7,0.3,1,Kortney,0.3,25,False,,2020-07-13T09:00:24.485275Z,44,123354.jpg,1.9,Hause,0.1,False,,a,2,7,34,8119,0,9070,0,0.1,7.7,Hause,1544,1,0,2,34,0,0,0,3,0,0,0,204,352.8,33.0,248.0,63.4,209,78,372,132,163,25,255,80
41,0.0,0.0,54764,0,0,-1,1,0,4,0.0,0.0,0,Jonathan,0.0,26,False,Joined Al-Gharafa on a permanent deal on 20/1.,2020-01-08T20:30:20.825750Z,54,54764.jpg,0.8,Kodjia,0.1,False,,u,2,7,5,4387,0,28038,0,0.0,0.9,Kodjia,111,0,0,0,6,0,0,0,1,0,0,0,14,3.4,12.2,24.0,3.8,489,70,421,63,386,65,457,64
42,100.0,100.0,98770,0,0,-2,2,0,1,0.3,0.0,0,Ørjan,0.0,27,False,,2019-07-30T15:00:08.973693Z,43,98770.jpg,2.1,Nyland,0.4,False,,a,2,7,15,53781,0,44171,0,0.0,3.5,Nyland,537,0,0,1,12,0,0,0,0,0,15,0,90,101.2,0.0,0.0,10.2,383,29,564,51,542,46,422,29
43,100.0,100.0,85242,0,0,-3,3,2,3,3.0,4.3,3,Conor,4.3,28,False,,2019-12-15T13:00:22.404997Z,57,85242.jpg,3.1,Hourihane,0.2,False,,a,2,7,83,21523,0,31679,0,0.8,14.6,Hourihane,1526,3,5,6,29,0,0,0,4,0,0,9,328,384.8,551.8,317.0,125.3,193,77,44,34,129,69,103,59
44,100.0,100.0,114283,0,0,-1,1,4,3,2.5,5.3,10,Jack,5.3,29,False,,2019-10-26T18:30:22.524063Z,59,114283.jpg,4.1,Grealish,14.4,False,,a,2,7,149,3451403,0,2863872,0,0.9,25.3,Grealish,3233,8,7,7,63,0,0,1,8,0,0,19,601,826.6,1209.2,837.0,287.0,28,8,4,3,37,17,10,6
45,100.0,100.0,193488,0,0,-3,3,0,3,1.0,0.7,1,Anwar,0.7,30,False,,2020-02-22T17:30:19.276253Z,52,193488.jpg,2.7,El Ghazi,0.7,False,,a,2,7,93,309053,0,298449,0,0.1,17.9,El Ghazi,2046,4,5,5,48,0,0,0,3,0,0,0,281,383.2,482.2,655.0,152.0,195,78,60,44,51,27,65,37
46,100.0,100.0,122806,0,0,-3,3,0,3,1.8,3.3,5,John,3.3,31,False,,2019-12-21T17:00:13.681907Z,52,122806.jpg,3.0,McGinn,2.6,False,,a,2,7,84,1421393,0,1470311,0,0.6,16.2,McGinn,2312,3,3,6,41,0,0,0,3,0,0,4,321,458.6,503.3,499.0,145.9,148,57,54,40,76,38,73,43
47,100.0,0.0,174597,0,0,-2,2,0,3,0.0,0.0,0,Andre,0.0,32,False,,2019-08-04T16:30:15.274646Z,48,174597.jpg,0.0,Green,0.0,False,,a,2,7,0,524,0,1580,0,0.0,0.0,Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,644,264,638,265,633,265,646,266
48,0.0,0.0,27770,0,0,0,0,0,3,0.0,0.0,0,Birkir,0.0,33,False,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,27770.jpg,0.0,Bjarnason,0.0,False,,u,2,7,0,806,0,7921,0,0.0,0.0,Bjarnason,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,596,231,586,232,570,226,599,234
49,100.0,100.0,221239,0,0,-3,3,0,3,1.3,1.0,1,Keinan,1.0,34,False,,2020-02-03T23:00:14.489212Z,42,221239.jpg,1.4,Davis,0.3,False,,a,2,7,25,42392,0,47567,0,0.2,6.0,Davis,534,0,1,1,7,0,0,0,0,0,0,0,43,27.8,71.7,212.0,29.9,444,185,310,164,187,101,359,156
50,100.0,100.0,40564,0,0,-1,1,0,3,0.2,0.3,0,Henri,0.3,35,False,,2019-11-08T18:00:15.526636Z,44,40564.jpg,1.2,Lansbury,0.3,False,,a,2,7,12,69556,0,68310,0,0.1,2.7,Lansbury,190,0,0,0,6,0,0,0,0,0,0,0,37,13.4,27.2,13.0,5.5,462,193,390,187,408,188,449,191
