element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
69140,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40564,45,45,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8432,65,62,164,3420,0,1,0,35,0,1,0,2,0,99,4,0,0.0,0.0,0.0,0.0
40349,40,40,41,1062,0,0,0,23,0,0,0,0,0,41,0,0,0.0,0.0,0.0,0.0
56872,50,49,60,1251,2,4,0,29,0,0,0,2,0,0,1,0,0.0,0.0,0.0,0.0
15237,50,44,10,321,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40387,50,46,23,349,2,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
61933,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50093,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17997,45,43,38,1704,0,0,0,34,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0
15749,40,48,140,3240,0,0,0,42,0,0,0,3,0,140,9,0,0.0,0.0,0.0,0.0
40145,40,40,24,773,1,3,0,22,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
17349,75,79,103,1801,3,10,0,25,0,0,0,1,0,0,11,0,0.0,0.0,0.0,0.0
44683,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
74230,45,45,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49413,45,41,51,1996,0,0,0,37,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
55494,40,40,8,146,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19188,40,40,88,2700,0,2,0,39,2,0,0,4,0,0,3,0,0.0,0.0,0.0,0.0
58786,45,45,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20066,40,39,37,1170,0,1,0,26,0,0,0,0,0,50,0,0,0.0,0.0,0.0,0.0
60252,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50472,45,42,50,1632,1,1,0,36,1,0,0,3,0,0,2,0,0.0,0.0,0.0,0.0
19419,50,47,88,2610,5,1,0,55,0,0,0,3,0,0,16,0,0.0,0.0,0.0,0.0
59949,45,45,7,108,0,1,0,3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
12745,65,66,138,3330,1,9,0,46,0,0,0,2,0,0,4,0,0.0,0.0,0.0,0.0
20467,80,77,65,1129,3,2,0,9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0
