,GW,team_id,difficulty
0,1,10,2
1,1,19,4
2,1,3,3
3,1,5,3
4,1,7,2
5,1,18,2
6,1,17,2
7,1,9,4
8,1,13,3
9,1,12,4
10,2,1,3
11,2,2,2
12,2,4,2
13,2,8,2
14,2,14,2
15,2,16,4
16,2,11,3
17,2,15,3
18,2,6,3
19,2,20,4
20,3,2,2
21,3,14,4
22,3,4,3
23,3,12,3
24,3,15,3
25,3,18,2
26,3,10,3
27,3,3,4
28,3,17,2
29,3,20,3
30,4,16,4
31,4,6,3
32,4,7,2
33,4,9,2
34,4,11,2
35,4,13,2
36,4,19,2
37,4,5,4
38,4,8,4
39,4,1,3
40,5,10,2
41,5,4,3
42,5,12,3
43,5,15,3
44,5,17,3
45,5,20,4
46,5,14,4
47,5,3,2
48,5,18,3
49,5,2,2
50,6,16,2
51,6,9,3
52,6,5,2
53,6,8,3
54,6,11,2
55,6,13,2
56,6,7,4
57,6,19,4
58,6,1,2
59,6,6,4
60,7,15,4
61,7,2,3
62,7,3,2
63,7,6,2
64,7,7,2
65,7,17,3
66,7,20,2
67,7,8,4
68,7,9,2
69,7,12,3
70,8,4,3
71,8,5,2
72,8,10,3
73,8,14,2
74,8,18,3
75,8,19,3
76,8,1,2
77,8,11,4
78,8,16,4
79,8,13,4
80,9,8,2
81,9,2,2
82,9,3,2
83,9,6,2
84,9,9,3
85,9,17,2
86,9,20,3
87,9,7,4
88,9,12,4
89,9,15,3
90,10,16,3
91,10,11,2
92,10,4,2
93,10,18,2
94,10,19,3
95,10,5,4
96,10,13,4
97,10,1,3
98,10,10,3
99,10,14,4
100,11,3,4
101,11,1,4
102,11,2,4
103,11,4,2
104,11,11,3
105,11,15,3
106,11,19,2
107,11,18,4
108,11,7,3
109,11,8,3
110,12,14,2
111,12,6,3
112,12,5,2
113,12,13,2
114,12,16,2
115,12,17,3
116,12,9,3
117,12,12,2
118,12,20,2
119,12,10,4
120,13,19,3
121,13,1,3
122,13,3,4
123,13,4,3
124,13,7,4
125,13,8,2
126,13,18,3
127,13,11,4
128,13,15,4
129,13,2,2
130,14,13,4
131,14,5,3
132,14,6,2
133,14,10,2
134,14,17,2
135,14,16,2
136,14,14,3
137,14,20,3
138,14,9,2
139,14,12,2
140,15,7,2
141,15,5,4
142,15,6,2
143,15,9,2
144,15,12,3
145,15,16,2
146,15,20,2
147,15,10,2
148,15,15,2
149,15,1,2
150,16,8,4
151,16,3,4
152,16,17,3
153,16,18,3
154,16,11,4
155,16,2,3
156,16,13,3
157,16,14,3
158,16,4,4
159,16,19,3
160,17,10,2
161,17,5,2
162,17,6,2
163,17,9,2
164,17,15,2
165,17,16,2
166,17,12,2
167,17,20,3
168,17,1,4
169,17,7,2
170,18,8,3
171,18,2,3
172,18,3,3
173,18,4,3
174,18,13,3
175,18,14,4
176,18,11,3
177,18,18,4
178,18,17,4
179,19,17,2
180,19,2,2
181,19,3,3
182,19,6,3
183,19,7,2
184,19,8,3
185,19,15,2
186,19,12,2
187,19,9,4
188,19,20,4
189,20,4,2
190,20,13,2
191,20,16,3
192,20,18,2
193,20,14,3
194,20,19,3
195,20,5,4
196,20,1,4
197,20,10,4
198,20,11,3
199,21,4,4
200,21,5,2
201,21,13,3
202,21,16,3
203,21,18,4
204,21,11,2
205,21,14,3
206,21,19,2
207,21,1,4
208,21,10,3
209,22,15,2
210,22,7,3
211,22,6,3
212,22,8,2
213,22,9,3
214,22,12,2
215,22,20,2
216,22,17,4
217,22,3,2
218,22,2,4
219,23,18,3
220,23,1,3
221,23,4,2
222,23,11,3
223,23,14,2
224,23,16,4
225,23,19,2
226,23,13,4
227,23,5,3
228,23,10,4
229,24,2,2
230,24,3,2
231,24,7,3
232,24,8,2
233,24,15,4
234,24,6,3
235,24,9,2
236,24,17,2
237,24,12,3
238,24,20,4
239,24,19,4
240,25,9,4
241,25,3,2
242,25,7,3
243,25,10,3
244,25,13,2
245,25,18,2
246,25,19,2
247,25,12,4
248,25,5,3
249,25,17,4
250,26,8,3
251,26,4,2
252,26,15,2
253,26,20,3
254,26,16,3
255,26,14,4
256,26,2,3
257,26,1,2
258,26,6,4
259,26,11,2
260,27,6,3
261,27,5,2
262,27,7,2
263,27,15,2
264,27,16,2
265,27,9,4
266,27,12,2
267,27,20,2
268,27,1,2
269,27,10,2
270,28,14,3
271,28,4,3
272,28,3,4
273,28,13,3
274,28,19,3
275,28,18,4
276,28,8,4
277,28,17,4
278,29,10,2
279,29,1,2
280,29,7,2
