name,GW,points,form
Aaron_Connolly_534,4,1,0.0
Aaron_Connolly_534,5,1,0.25
Aaron_Connolly_534,6,1,0.5
Aaron_Connolly_534,7,1,0.75
Aaron_Connolly_534,8,13,1.0
Aaron_Connolly_534,9,1,4.0
Aaron_Connolly_534,10,8,4.0
Aaron_Connolly_534,11,2,5.75
Aaron_Connolly_534,12,1,6.0
Aaron_Connolly_534,14,2,2.75
Aaron_Connolly_534,15,2,1.25
Aaron_Connolly_534,18,1,1.0
Aaron_Connolly_534,19,2,0.75
Aaron_Connolly_534,21,1,0.75
Aaron_Connolly_534,23,2,0.75
Aaron_Connolly_534,24,1,0.75
Aaron_Connolly_534,27,1,0.75
Aaron_Connolly_534,30,4,0.25
Aaron_Connolly_534,31,2,1.25
Aaron_Connolly_534,32,2,1.5
Aaron_Connolly_534,33,2,2.0
Aaron_Connolly_534,34,1,2.5
Aaron_Connolly_534,35,1,1.75
Aaron_Connolly_534,38,8,0.5
Aaron_Cresswell_376,1,0,0.0
Aaron_Cresswell_376,6,14,0.0
Aaron_Cresswell_376,7,7,3.5
Aaron_Cresswell_376,8,2,5.25
Aaron_Cresswell_376,10,2,5.75
Aaron_Cresswell_376,11,0,2.75
Aaron_Cresswell_376,12,1,1.0
Aaron_Cresswell_376,13,1,0.75
Aaron_Cresswell_376,14,14,1.0
Aaron_Cresswell_376,15,0,4.0
Aaron_Cresswell_376,16,0,4.0
Aaron_Cresswell_376,17,6,3.75
Aaron_Cresswell_376,19,0,1.5
Aaron_Cresswell_376,21,5,1.5
Aaron_Cresswell_376,22,2,1.25
Aaron_Cresswell_376,23,2,1.75
Aaron_Cresswell_376,24,1,2.25
Aaron_Cresswell_376,24,0,2.5
Aaron_Cresswell_376,25,1,1.25
Aaron_Cresswell_376,26,1,1.0
Aaron_Cresswell_376,27,1,0.75
Aaron_Cresswell_376,28,1,0.75
Aaron_Cresswell_376,29,2,1.0
Aaron_Cresswell_376,30,1,1.25
Aaron_Cresswell_376,31,1,1.25
Aaron_Cresswell_376,32,1,1.25
Aaron_Cresswell_376,33,1,1.25
Aaron_Cresswell_376,34,2,1.0
Aaron_Cresswell_376,35,6,1.25
Aaron_Cresswell_376,36,2,2.5
Aaron_Cresswell_376,37,2,2.75
Aaron_Lennon_430,1,1,0.0
Aaron_Lennon_430,2,1,1.0
Aaron_Lennon_430,3,0,1.0
Aaron_Lennon_430,4,2,0.6666666666666666
Aaron_Lennon_430,5,0,1.0
Aaron_Lennon_430,6,1,0.75
Aaron_Lennon_430,8,1,0.75
Aaron_Lennon_430,9,1,0.5
Aaron_Lennon_430,14,1,0.0
Aaron_Lennon_430,15,2,0.25
Aaron_Lennon_430,16,1,0.75
Aaron_Lennon_430,18,1,1.0
Aaron_Lennon_430,22,1,0.25
Aaron_Lennon_430,23,1,0.25
Aaron_Lennon_430,27,0,0.25
Aaron_Lennon_430,29,1,0.0
Aaron_Mooy_516,2,1,0.0
Aaron_Mooy_516,5,1,0.25
Aaron_Mooy_516,6,3,0.5
Aaron_Mooy_516,7,2,1.0
Aaron_Mooy_516,8,3,1.5
Aaron_Mooy_516,9,-2,2.25
Aaron_Mooy_516,13,2,-0.5
Aaron_Mooy_516,14,2,0.5
Aaron_Mooy_516,15,8,1.0
Aaron_Mooy_516,16,2,3.0
Aaron_Mooy_516,17,2,3.5
Aaron_Mooy_516,18,2,3.5
Aaron_Mooy_516,19,2,3.5
Aaron_Mooy_516,20,11,2.0
Aaron_Mooy_516,21,2,4.25
Aaron_Mooy_516,23,2,3.75
Aaron_Mooy_516,24,10,3.75
Aaron_Mooy_516,25,2,3.5
Aaron_Mooy_516,26,2,3.5
Aaron_Mooy_516,27,2,4.0
Aaron_Mooy_516,28,2,4.0
Aaron_Mooy_516,29,3,2.0
Aaron_Mooy_516,30,0,2.25
Aaron_Mooy_516,31,3,1.75
Aaron_Mooy_516,32,1,2.0
Aaron_Mooy_516,33,6,1.75
Aaron_Mooy_516,34,1,2.5
Aaron_Mooy_516,35,2,2.75
Aaron_Mooy_516,36,1,2.5
Aaron_Mooy_516,37,1,2.5
Aaron_Mooy_516,38,1,1.25
Aaron_Ramsdale_494,1,2,0.0
Aaron_Ramsdale_494,2,4,2.0
Aaron_Ramsdale_494,3,1,3.0
Aaron_Ramsdale_494,4,1,2.3333333333333335
Aaron_Ramsdale_494,5,3,2.0
Aaron_Ramsdale_494,6,10,2.25
Aaron_Ramsdale_494,7,2,3.75
Aaron_Ramsdale_494,8,2,4.0
Aaron_Ramsdale_494,9,6,4.25
Aaron_Ramsdale_494,10,8,5.0
Aaron_Ramsdale_494,11,9,4.5
Aaron_Ramsdale_494,12,4,6.25
Aaron_Ramsdale_494,13,2,6.75
Aaron_Ramsdale_494,14,1,5.75
Aaron_Ramsdale_494,15,2,4.0
Aaron_Ramsdale_494,16,3,2.25
Aaron_Ramsdale_494,17,10,2.0
Aaron_Ramsdale_494,18,2,4.0
Aaron_Ramsdale_494,19,2,4.25
Aaron_Ramsdale_494,20,2,4.25
Aaron_Ramsdale_494,21,1,4.0
Aaron_Ramsdale_494,23,3,1.25
Aaron_Ramsdale_494,24,4,1.5
Aaron_Ramsdale_494,25,3,2.0
Aaron_Ramsdale_494,26,2,2.5
Aaron_Ramsdale_494,27,3,3.0
Aaron_Ramsdale_494,28,2,3.0
Aaron_Ramsdale_494,29,2,2.5
Aaron_Ramsdale_494,30,1,2.25
Aaron_Ramsdale_494,31,2,2.0
Aaron_Ramsdale_494,32,1,1.75
Aaron_Ramsdale_494,33,2,1.5
Aaron_Ramsdale_494,34,6,1.5
Aaron_Ramsdale_494,35,3,2.75
Aaron_Ramsdale_494,36,1,3.0
Aaron_Ramsdale_494,37,11,3.0
Aaron_Ramsdale_494,38,3,5.25
Aaron_Wan-Bissaka_122,1,8,0.0
Aaron_Wan-Bissaka_122,2,1,8.0
Aaron_Wan-Bissaka_122,3,0,4.5
Aaron_Wan-Bissaka_122,4,2,3.0
Aaron_Wan-Bissaka_122,5,6,2.75
Aaron_Wan-Bissaka_122,6,1,2.25
Aaron_Wan-Bissaka_122,9,2,1.75
Aaron_Wan-Bissaka_122,10,1,0.75
Aaron_Wan-Bissaka_122,11,2,0.75
Aaron_Wan-Bissaka_122,12,2,1.25
Aaron_Wan-Bissaka_122,13,0,1.75
Aaron_Wan-Bissaka_122,14,1,1.25
Aaron_Wan-Bissaka_122,15,2,1.25
Aaron_Wan-Bissaka_122,16,3,1.25
Aaron_Wan-Bissaka_122,17,4,1.5
Aaron_Wan-Bissaka_122,18,1,2.5
Aaron_Wan-Bissaka_122,19,6,2.5
Aaron_Wan-Bissaka_122,21,1,2.75
Aaron_Wan-Bissaka_122,22,6,2.0
Aaron_Wan-Bissaka_122,23,1,3.25
Aaron_Wan-Bissaka_122,24,1,2.0
Aaron_Wan-Bissaka_122,25,9,2.25
Aaron_Wan-Bissaka_122,26,10,4.25
Aaron_Wan-Bissaka_122,27,6,5.25
Aaron_Wan-Bissaka_122,28,2,6.5
Aaron_Wan-Bissaka_122,29,7,6.75
Aaron_Wan-Bissaka_122,30,2,6.25
Aaron_Wan-Bissaka_122,31,11,4.25
Aaron_Wan-Bissaka_122,32,10,5.5
Aaron_Wan-Bissaka_122,33,1,7.5
Aaron_Wan-Bissaka_122,34,5,6.0
Aaron_Wan-Bissaka_122,35,0,6.75
Aaron_Wan-Bissaka_122,36,5,4.0
Aaron_Wan-Bissaka_122,37,1,2.75
Aaron_Wan-Bissaka_122,38,7,2.75
Abdoulaye_Doucouré_368,1,0,0.0
Abdoulaye_Doucouré_368,2,2,0.0
Abdoulaye_Doucouré_368,3,2,1.0
Abdoulaye_Doucouré_368,4,1,1.3333333333333333
Abdoulaye_Doucouré_368,5,2,1.25
Abdoulaye_Doucouré_368,6,2,1.75
Abdoulaye_Doucouré_368,7,2,1.75
Abdoulaye_Doucouré_368,8,3,1.75
Abdoulaye_Doucouré_368,9,9,2.25
Abdoulaye_Doucouré_368,10,2,4.0
Abdoulaye_Doucouré_368,11,2,4.0
Abdoulaye_Doucouré_368,12,3,4.0
Abdoulaye_Doucouré_368,13,2,4.0
Abdoulaye_Doucouré_368,14,2,2.25
Abdoulaye_Doucouré_368,15,1,2.25
Abdoulaye_Doucouré_368,16,2,2.0
Abdoulaye_Doucouré_368,17,2,1.75
Abdoulaye_Doucouré_368,18,2,1.75
Abdoulaye_Doucouré_368,20,6,1.5
Abdoulaye_Doucouré_368,21,9,2.5
Abdoulaye_Doucouré_368,22,14,4.25
Abdoulaye_Doucouré_368,23,2,7.25
Abdoulaye_Doucouré_368,24,1,7.75
Abdoulaye_Doucouré_368,25,2,6.5
Abdoulaye_Doucouré_368,26,9,4.75
Abdoulaye_Doucouré_368,27,2,3.5
Abdoulaye_Doucouré_368,28,6,3.5
Abdoulaye_Doucouré_368,29,1,4.75
Abdoulaye_Doucouré_368,30,3,4.5
Abdoulaye_Doucouré_368,31,1,3.0
Abdoulaye_Doucouré_368,32,1,2.75
Abdoulaye_Doucouré_368,33,2,1.5
Abdoulaye_Doucouré_368,34,2,1.75
Abdoulaye_Doucouré_368,35,2,1.5
Abdoulaye_Doucouré_368,36,5,1.75
Abdoulaye_Doucouré_368,37,2,2.75
Abdoulaye_Doucouré_368,38,2,2.75
Adam_Idah_538,21,1,0.0
Adam_Idah_538,22,2,0.25
Adam_Idah_538,29,1,0.0
Adam_Idah_538,30,1,0.25
Adam_Idah_538,31,1,0.5
Adam_Idah_538,32,1,0.75
Adam_Idah_538,33,1,1.0
Adam_Idah_538,34,1,1.0
Adam_Idah_538,35,1,1.0
Adam_Idah_538,36,1,1.0
Adam_Idah_538,37,1,1.0
Adam_Idah_538,38,1,1.0
Adam_Lallana_195,3,1,0.0
Adam_Lallana_195,6,1,0.25
Adam_Lallana_195,8,1,0.25
Adam_Lallana_195,9,7,0.5
Adam_Lallana_195,11,2,2.0
Adam_Lallana_195,14,1,0.5
Adam_Lallana_195,15,2,0.75
Adam_Lallana_195,19,1,0.5
Adam_Lallana_195,20,5,0.25
Adam_Lallana_195,21,1,1.5
Adam_Lallana_195,22,1,1.75
Adam_Lallana_195,23,1,2.0
Adam_Lallana_195,25,1,0.75
Adam_Lallana_195,28,1,0.25
Adam_Lallana_195,29,1,0.5
Adam_Masina_355,10,6,0.0
Adam_Masina_355,11,1,1.5
Adam_Masina_355,12,0,1.75
Adam_Masina_355,13,0,1.75
Adam_Masina_355,14,1,1.75
Adam_Masina_355,15,0,0.5
Adam_Masina_355,16,6,0.25
Adam_Masina_355,20,1,1.5
Adam_Masina_355,21,1,0.25
Adam_Masina_355,22,7,0.5
Adam_Masina_355,23,6,2.25
Adam_Masina_355,24,1,3.75
Adam_Masina_355,25,6,3.75
Adam_Masina_355,26,2,5.0
Adam_Masina_355,27,1,3.75
Adam_Masina_355,28,7,2.5
Adam_Masina_355,29,2,4.0
Adam_Masina_355,30,8,3.0
Adam_Masina_355,31,2,4.5
Adam_Masina_355,32,1,4.75
Adam_Masina_355,33,1,3.25
Adam_Masina_355,34,2,3.0
Adam_Masina_355,35,2,1.5
Adam_Masina_355,36,0,1.5
Adam_Masina_355,37,1,1.25
Adam_Masina_355,38,1,1.25
Adam_Smith_63,1,1,0.0
Adam_Smith_63,2,2,1.0
Adam_Smith_63,3,1,1.5
Adam_Smith_63,4,1,1.3333333333333333
Adam_Smith_63,9,5,0.0
Adam_Smith_63,10,6,1.25
Adam_Smith_63,11,12,2.75
Adam_Smith_63,12,1,5.75
Adam_Smith_63,13,1,6.0
Adam_Smith_63,15,2,3.5
Adam_Smith_63,22,0,0.0
Adam_Smith_63,23,1,0.0
Adam_Smith_63,24,2,0.25
Adam_Smith_63,25,2,0.75
Adam_Smith_63,26,1,1.25
Adam_Smith_63,27,0,1.5
Adam_Smith_63,28,0,1.25
Adam_Smith_63,29,1,0.75
Adam_Smith_63,30,0,0.5
Adam_Smith_63,31,2,0.25
Adam_Smith_63,32,0,0.75
Adam_Smith_63,33,0,0.75
