team,GW,opponent_conceded
1,1,0.0
1,2,2.0
1,3,5.0
1,4,6.0
1,5,8.0
1,6,9.0
1,7,9.0
1,8,9.0
1,9,10.0
1,10,11.0
1,11,13.0
1,12,14.0
1,13,15.0
1,14,16.0
1,15,18.0
1,16,20.0
1,17,20.0
1,18,23.0
1,19,24.0
1,20,25.0
1,21,30.0
1,22,31.0
1,23,32.0
1,24,32.0
1,25,33.0
1,26,36.0
1,27,37.0
1,28,37.0
1,29,38.0
1,30,39.0
1,32,39.0
1,33,39.0
1,34,40.0
1,35,40.0
1,36,46.0
1,37,49.0
1,38,50.0
2,1,0.0
2,2,0.0
2,3,1.0
2,4,3.0
2,5,5.0
2,6,7.0
2,7,11.0
2,8,12.0
2,9,12.0
2,10,12.0
2,11,12.0
2,12,14.0
2,13,16.0
2,14,18.0
2,15,21.0
2,16,22.0
2,17,26.0
2,18,28.0
2,19,28.0
2,20,33.0
2,21,37.0
2,22,40.0
2,23,42.0
2,24,42.0
2,25,42.0
2,26,44.0
2,27,47.0
2,28,48.0
2,29,53.0
2,30,54.0
2,31,54.0
2,32,56.0
2,33,58.0
2,34,61.0
2,35,61.0
2,36,62.0
2,37,65.0
2,38,65.0
3,1,0.0
3,2,2.0
3,3,4.0
3,4,5.0
3,5,7.0
3,6,9.0
3,7,11.0
3,8,13.0
3,9,13.0
3,10,13.0
3,11,13.0
3,12,16.0
3,13,18.0
3,14,19.0
3,15,20.0
3,16,21.0
3,17,22.0
3,18,24.0
3,19,26.0
3,20,27.0
3,21,27.0
3,22,29.0
3,23,30.0
3,24,32.0
3,25,36.0
3,26,36.0
3,28,39.0
3,29,41.0
3,30,41.0
3,32,42.0
3,34,46.0
3,35,53.0
3,36,54.0
3,37,55.0
3,38,56.0
4,1,0.0
4,2,0.0
4,3,3.0
4,4,7.0
4,5,9.0
4,6,10.0
4,7,10.0
4,8,11.0
4,9,12.0
4,10,17.0
4,11,21.0
4,12,25.0
4,13,25.0
4,14,27.0
4,15,29.0
4,16,32.0
4,17,32.0
4,18,33.0
4,19,36.0
4,20,41.0
4,21,41.0
4,22,42.0
4,23,43.0
4,24,43.0
4,25,45.0
4,26,46.0
4,27,47.0
4,28,48.0
4,29,50.0
4,30,53.0
4,31,57.0
4,32,59.0
4,33,59.0
4,34,60.0
4,35,60.0
4,36,62.0
4,37,63.0
