name,GW,points,form
Aaron_Cresswell_402,4,1,0.0
Aaron_Cresswell_402,9,2,0.0
Aaron_Cresswell_402,10,1,0.5
Aaron_Cresswell_402,11,1,0.75
Aaron_Cresswell_402,12,2,1.0
Aaron_Cresswell_402,13,1,1.5
Aaron_Cresswell_402,14,1,1.25
Aaron_Cresswell_402,19,2,0.0
Aaron_Cresswell_402,20,1,0.5
Aaron_Cresswell_402,21,1,0.75
Aaron_Cresswell_402,22,6,1.0
Aaron_Cresswell_402,23,1,2.5
Aaron_Cresswell_402,25,2,2.0
Aaron_Cresswell_402,26,2,2.25
Aaron_Cresswell_402,27,2,1.25
Aaron_Cresswell_402,29,1,1.5
Aaron_Cresswell_402,30,1,1.25
Aaron_Cresswell_402,31,4,1.0
Aaron_Cresswell_402,32,1,1.5
Aaron_Cresswell_402,33,1,1.75
Aaron_Lennon_83,1,3,0.0
Aaron_Lennon_83,2,2,3.0
Aaron_Lennon_83,3,2,2.5
Aaron_Lennon_83,4,2,2.3333333333333335
Aaron_Lennon_83,5,2,2.25
Aaron_Lennon_83,6,13,2.0
Aaron_Lennon_83,7,1,4.75
Aaron_Lennon_83,8,2,4.5
Aaron_Lennon_83,9,2,4.5
Aaron_Lennon_83,11,2,1.25
Aaron_Lennon_83,12,3,1.5
Aaron_Lennon_83,13,2,1.75
Aaron_Lennon_83,14,1,1.75
Aaron_Lennon_83,15,1,2.0
Aaron_Lennon_83,16,1,1.75
Aaron_Lennon_83,17,2,1.25
Aaron_Mooy_199,1,2,0.0
Aaron_Mooy_199,3,3,1.0
Aaron_Mooy_199,4,2,1.6666666666666667
Aaron_Mooy_199,5,2,1.75
Aaron_Mooy_199,6,2,1.75
Aaron_Mooy_199,7,2,2.25
Aaron_Mooy_199,8,2,2.0
Aaron_Mooy_199,9,2,2.0
Aaron_Mooy_199,10,1,2.0
Aaron_Mooy_199,11,3,1.75
Aaron_Mooy_199,12,2,2.0
Aaron_Mooy_199,13,16,2.0
Aaron_Mooy_199,14,2,5.5
Aaron_Mooy_199,15,1,5.75
Aaron_Mooy_199,16,2,5.25
Aaron_Mooy_199,24,1,0.0
Aaron_Mooy_199,25,2,0.25
Aaron_Mooy_199,26,2,0.75
Aaron_Mooy_199,27,2,1.25
Aaron_Mooy_199,28,1,1.75
Aaron_Mooy_199,29,0,1.75
Aaron_Mooy_199,30,1,1.25
Aaron_Mooy_199,31,6,1.0
Aaron_Mooy_199,32,2,2.0
Aaron_Mooy_199,33,8,2.25
Aaron_Mooy_199,34,1,4.25
Aaron_Mooy_199,35,2,4.25
Aaron_Mooy_199,37,2,2.75
Aaron_Mooy_199,38,2,1.25
Aaron_Ramsey_14,1,1,0.0
Aaron_Ramsey_14,2,1,1.0
Aaron_Ramsey_14,3,2,1.0
Aaron_Ramsey_14,4,2,1.3333333333333333
Aaron_Ramsey_14,5,3,1.5
Aaron_Ramsey_14,6,9,2.0
Aaron_Ramsey_14,7,3,4.0
Aaron_Ramsey_14,8,10,4.25
Aaron_Ramsey_14,9,1,6.25
Aaron_Ramsey_14,10,1,5.75
Aaron_Ramsey_14,11,1,3.75
Aaron_Ramsey_14,12,4,3.25
Aaron_Ramsey_14,13,1,1.75
Aaron_Ramsey_14,14,7,1.75
Aaron_Ramsey_14,15,1,3.25
Aaron_Ramsey_14,19,1,0.25
Aaron_Ramsey_14,20,2,0.25
Aaron_Ramsey_14,21,6,0.75
Aaron_Ramsey_14,22,1,2.25
Aaron_Ramsey_14,23,3,2.5
Aaron_Ramsey_14,24,1,3.0
Aaron_Ramsey_14,25,1,2.75
Aaron_Ramsey_14,27,3,1.25
Aaron_Ramsey_14,29,8,1.0
Aaron_Ramsey_14,30,3,2.75
Aaron_Ramsey_14,32,11,2.75
Aaron_Ramsey_14,33,1,5.5
Aaron_Ramsey_14,34,3,3.75
Aaron_Rowe_607,30,1,0.0
Aaron_Rowe_607,31,1,0.25
Aaron_Wan-Bissaka_145,1,12,0.0
Aaron_Wan-Bissaka_145,2,-2,12.0
Aaron_Wan-Bissaka_145,4,0,3.3333333333333335
Aaron_Wan-Bissaka_145,5,9,2.5
Aaron_Wan-Bissaka_145,6,9,1.75
Aaron_Wan-Bissaka_145,7,1,4.5
Aaron_Wan-Bissaka_145,8,2,4.75
Aaron_Wan-Bissaka_145,9,1,5.25
Aaron_Wan-Bissaka_145,10,1,3.25
Aaron_Wan-Bissaka_145,11,1,1.25
Aaron_Wan-Bissaka_145,12,2,1.25
Aaron_Wan-Bissaka_145,13,6,1.25
Aaron_Wan-Bissaka_145,14,6,2.5
Aaron_Wan-Bissaka_145,15,1,3.75
Aaron_Wan-Bissaka_145,16,1,3.75
Aaron_Wan-Bissaka_145,17,6,3.5
Aaron_Wan-Bissaka_145,18,1,3.5
Aaron_Wan-Bissaka_145,19,8,2.25
Aaron_Wan-Bissaka_145,20,2,4.0
Aaron_Wan-Bissaka_145,21,6,4.25
Aaron_Wan-Bissaka_145,22,4,4.25
Aaron_Wan-Bissaka_145,23,0,5.0
Aaron_Wan-Bissaka_145,24,1,3.0
Aaron_Wan-Bissaka_145,25,5,2.75
Aaron_Wan-Bissaka_145,26,1,2.5
Aaron_Wan-Bissaka_145,29,5,1.5
Aaron_Wan-Bissaka_145,30,1,1.5
Aaron_Wan-Bissaka_145,32,1,1.5
Aaron_Wan-Bissaka_145,32,6,1.75
Aaron_Wan-Bissaka_145,33,7,3.25
Aaron_Wan-Bissaka_145,34,1,3.75
Aaron_Wan-Bissaka_145,35,1,3.75
Aaron_Wan-Bissaka_145,36,9,3.75
Aaron_Wan-Bissaka_145,37,1,4.5
Aaron_Wan-Bissaka_145,38,4,3.0
Abdelhamid_Sabiri_205,2,1,0.0
Abdelhamid_Sabiri_205,15,1,0.0
Abdoulaye_Doucouré_390,1,3,0.0
Abdoulaye_Doucouré_390,2,6,3.0
Abdoulaye_Doucouré_390,3,2,4.5
Abdoulaye_Doucouré_390,4,0,3.6666666666666665
Abdoulaye_Doucouré_390,5,8,2.75
Abdoulaye_Doucouré_390,6,2,4.0
Abdoulaye_Doucouré_390,7,1,3.0
Abdoulaye_Doucouré_390,8,1,2.75
Abdoulaye_Doucouré_390,9,11,3.0
Abdoulaye_Doucouré_390,10,3,3.75
Abdoulaye_Doucouré_390,11,2,4.0
Abdoulaye_Doucouré_390,12,2,4.25
Abdoulaye_Doucouré_390,13,2,4.5
Abdoulaye_Doucouré_390,14,2,2.25
Abdoulaye_Doucouré_390,15,8,2.0
Abdoulaye_Doucouré_390,16,8,3.5
Abdoulaye_Doucouré_390,17,5,5.0
Abdoulaye_Doucouré_390,18,3,5.75
Abdoulaye_Doucouré_390,19,2,6.0
Abdoulaye_Doucouré_390,20,7,4.5
Abdoulaye_Doucouré_390,21,0,4.25
Abdoulaye_Doucouré_390,22,2,3.0
Abdoulaye_Doucouré_390,26,3,0.5
Abdoulaye_Doucouré_390,27,6,0.75
Abdoulaye_Doucouré_390,28,2,2.25
Abdoulaye_Doucouré_390,29,1,2.75
Abdoulaye_Doucouré_390,30,2,3.0
Abdoulaye_Doucouré_390,32,10,1.25
Abdoulaye_Doucouré_390,32,7,3.75
Abdoulaye_Doucouré_390,34,2,4.75
Abdoulaye_Doucouré_390,35,1,4.75
Abdoulaye_Doucouré_390,35,5,5.0
Abdoulaye_Doucouré_390,36,2,3.75
Abdoulaye_Doucouré_390,37,1,2.5
Abdoulaye_Doucouré_390,38,2,2.25
Aboubakar_Kamara_189,1,1,0.0
Aboubakar_Kamara_189,2,2,1.0
Aboubakar_Kamara_189,8,1,0.0
Aboubakar_Kamara_189,10,1,0.25
Aboubakar_Kamara_189,13,1,0.25
Aboubakar_Kamara_189,14,1,0.5
Aboubakar_Kamara_189,15,8,0.5
Aboubakar_Kamara_189,16,5,2.5
Aboubakar_Kamara_189,17,2,3.75
Aboubakar_Kamara_189,18,0,4.0
Aboubakar_Kamara_189,19,2,3.75
Aboubakar_Kamara_189,20,-1,2.25
Aboubakar_Kamara_189,21,5,0.75
Adam_Lallana_250,2,1,0.0
Adam_Lallana_250,9,2,0.0
Adam_Lallana_250,10,3,0.5
Adam_Lallana_250,16,4,0.0
Adam_Lallana_250,18,1,1.0
Adam_Lallana_250,20,1,1.25
Adam_Lallana_250,23,1,0.25
Adam_Lallana_250,24,1,0.5
Adam_Lallana_250,25,2,0.5
Adam_Lallana_250,28,1,0.75
Adam_Lallana_250,29,1,0.75
Adam_Lallana_250,30,2,0.5
