team,GW,opponent_goals
1,1,0.0
1,2,0.0
1,3,2.0
1,4,5.0
1,5,8.0
1,6,10.0
1,7,12.0
1,8,14.0
1,9,19.0
1,10,22.0
1,11,24.0
1,12,25.0
1,13,26.0
1,14,28.0
1,15,32.0
1,16,34.0
1,17,35.0
1,18,37.0
1,19,40.0
1,20,41.0
1,21,42.0
1,22,46.0
1,23,46.0
1,24,48.0
1,25,50.0
1,26,51.0
1,27,53.0
1,28,55.0
1,29,60.0
1,30,61.0
1,32,63.0
1,33,65.0
1,34,65.0
1,35,66.0
1,36,69.0
1,37,69.0
1,38,70.0
2,1,0.0
2,2,2.0
2,3,4.0
2,4,6.0
2,5,6.0
2,6,10.0
2,7,10.0
2,8,12.0
2,9,16.0
2,10,16.0
2,11,19.0
2,12,20.0
2,13,21.0
2,14,22.0
2,15,23.0
2,16,25.0
2,17,25.0
2,18,25.0
2,19,27.0
2,20,27.0
2,21,28.0
2,22,31.0
2,23,31.0
2,24,33.0
2,25,37.0
2,26,37.0
2,27,37.0
2,28,38.0
2,29,39.0
2,30,39.0
2,31,41.0
2,32,43.0
2,33,43.0
2,34,44.0
2,35,49.0
2,36,49.0
2,37,52.0
2,38,53.0
3,1,0.0
3,2,0.0
3,3,3.0
3,4,3.0
3,5,5.0
3,6,7.0
3,7,8.0
3,8,8.0
3,9,9.0
3,10,10.0
3,11,11.0
3,12,12.0
3,13,13.0
3,14,14.0
3,15,16.0
3,16,19.0
3,17,19.0
3,18,20.0
3,19,20.0
3,20,21.0
3,21,22.0
3,22,24.0
3,23,24.0
3,24,25.0
3,25,27.0
3,26,27.0
3,28,28.0
3,29,29.0
3,30,30.0
3,32,32.0
3,34,32.0
3,35,32.0
3,36,32.0
3,37,33.0
3,38,34.0
4,1,0.0
4,2,0.0
4,3,1.0
4,4,3.0
4,5,3.0
4,6,3.0
4,7,7.0
4,8,9.0
4,9,10.0
4,10,10.0
4,11,10.0
4,12,12.0
4,13,12.0
4,14,13.0
4,15,13.0
4,16,14.0
4,17,15.0
4,18,15.0
4,19,16.0
4,20,17.0
4,21,19.0
4,22,21.0
4,23,23.0
4,24,23.0
4,25,25.0
4,26,26.0
4,27,29.0
4,28,31.0
4,29,31.0
4,30,32.0
4,31,34.0
4,32,35.0
4,33,37.0
4,34,40.0
4,35,42.0
4,36,44.0
4,37,44.0
4,38,44.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,3.0
5,7,3.0
5,8,4.0
5,9,4.0
5,10,8.0
5,11,9.0
5,12,9.0
5,13,11.0
5,14,11.0
5,15,13.0
5,16,14.0
5,17,15.0
5,18,17.0
5,19,18.0
5,20,18.0
5,21,19.0
5,22,19.0
5,23,19.0
5,24,19.0
5,25,20.0
5,26,22.0
5,27,24.0
5,28,25.0
5,29,25.0
5,30,25.0
5,32,27.0
5,34,28.0
5,35,30.0
5,36,30.0
5,37,30.0
5,38,32.0
6,1,0.0
6,2,3.0
6,3,6.0
6,4,8.0
6,5,10.0
6,6,14.0
6,7,14.0
6,8,15.0
6,9,18.0
6,10,20.0
6,11,24.0
6,12,27.0
6,13,27.0
6,14,28.0
6,15,30.0
6,16,31.0
6,17,33.0
6,18,35.0
6,19,35.0
6,20,37.0
6,21,38.0
6,22,38.0
6,23,40.0
6,24,40.0
6,25,40.0
6,26,45.0
6,28,45.0
6,29,47.0
6,30,49.0
6,31,50.0
6,32,50.0
6,33,55.0
6,34,57.0
6,35,57.0
6,36,59.0
6,37,60.0
6,38,63.0
7,1,0.0
7,2,2.0
7,3,2.0
7,4,3.0
7,5,3.0
7,6,4.0
7,7,4.0
7,8,5.0
7,9,5.0
7,10,5.0
7,11,7.0
7,12,8.0
7,13,8.0
7,14,8.0
7,15,10.0
7,16,11.0
7,17,13.0
7,18,14.0
7,19,17.0
7,20,17.0
7,21,17.0
7,22,19.0
7,23,20.0
7,24,23.0
7,25,24.0
7,26,26.0
7,27,27.0
7,28,31.0
7,29,32.0
7,30,35.0
7,32,36.0
7,33,38.0
7,34,39.0
7,35,40.0
7,36,43.0
7,37,43.0
7,38,46.0
8,1,0.0
8,2,2.0
8,3,4.0
8,4,6.0
8,5,7.0
8,6,8.0
8,7,8.0
8,8,11.0
8,9,13.0
8,10,15.0
8,11,16.0
8,12,19.0
8,13,19.0
8,14,20.0
8,15,20.0
8,16,21.0
8,17,23.0
8,18,24.0
8,19,26.0
8,20,31.0
8,21,31.0
8,22,31.0
8,23,33.0
8,24,34.0
8,25,35.0
8,26,36.0
8,28,36.0
8,29,39.0
8,30,39.0
8,31,41.0
8,32,43.0
8,33,45.0
8,34,46.0
8,35,46.0
8,36,50.0
8,37,50.0
8,38,52.0
9,1,0.0
9,2,0.0
9,3,1.0
9,4,5.0
9,5,7.0
9,6,7.0
9,7,8.0
9,8,8.0
9,9,9.0
9,10,11.0
9,11,11.0
9,12,11.0
9,13,11.0
9,14,14.0
9,15,14.0
9,16,15.0
9,17,16.0
9,18,16.0
9,19,16.0
9,20,17.0
9,21,18.0
9,22,19.0
9,23,20.0
9,24,21.0
9,25,25.0
9,26,25.0
9,27,25.0
9,28,26.0
9,29,26.0
9,30,27.0
9,31,28.0
9,32,29.0
9,34,30.0
9,35,32.0
9,36,33.0
9,37,34.0
9,38,34.0
10,1,0.0
10,2,0.0
10,3,1.0
10,4,1.0
10,5,2.0
10,6,2.0
10,7,3.0
10,8,3.0
10,9,4.0
10,10,4.0
10,11,4.0
10,12,5.0
10,13,6.0
10,14,8.0
10,15,9.0
10,16,10.0
10,17,10.0
10,18,10.0
10,19,11.0
10,20,12.0
10,21,12.0
10,22,13.0
10,23,13.0
10,24,13.0
10,25,13.0
10,26,13.0
10,27,14.0
10,28,14.0
10,29,15.0
10,30,15.0
10,31,15.0
10,32,18.0
10,33,18.0
10,34,19.0
10,35,19.0
10,36,20.0
10,37,20.0
10,38,21.0
11,1,0.0
11,2,1.0
11,3,3.0
11,4,5.0
11,5,6.0
11,6,8.0
11,7,11.0
11,8,13.0
11,9,14.0
11,10,15.0
11,11,16.0
11,12,17.0
11,13,17.0
11,14,18.0
11,15,20.0
11,16,21.0
11,17,21.0
11,18,21.0
11,19,22.0
11,20,24.0
11,21,24.0
11,22,25.0
11,23,26.0
11,24,29.0
11,25,30.0
11,26,30.0
11,27,31.0
11,28,32.0
11,29,34.0
11,30,35.0
11,31,38.0
11,32,40.0
11,33,42.0
11,34,46.0
11,35,46.0
11,36,48.0
11,37,51.0
11,38,51.0
12,1,0.0
12,2,4.0
12,3,6.0
12,4,7.0
12,5,9.0
12,6,11.0
12,7,14.0
12,8,15.0
12,9,15.0
12,10,16.0
12,11,20.0
12,12,21.0
12,13,23.0
12,14,26.0
12,15,27.0
12,16,30.0
12,17,34.0
12,18,37.0
12,19,39.0
12,20,43.0
12,21,48.0
12,22,49.0
12,23,50.0
12,24,54.0
12,25,55.0
12,26,56.0
12,27,59.0
12,28,59.0
12,29,64.0
12,30,64.0
12,31,68.0
12,32,70.0
12,33,72.0
12,34,75.0
12,35,77.0
12,36,79.0
12,37,84.0
12,38,87.0
13,1,0.0
13,2,2.0
13,3,8.0
13,4,9.0
13,5,11.0
13,6,14.0
13,7,19.0
13,8,21.0
13,9,21.0
13,10,26.0
13,11,27.0
13,12,33.0
13,13,36.0
13,14,40.0
13,15,43.0
13,16,45.0
13,17,45.0
13,18,48.0
13,19,50.0
13,20,51.0
13,21,54.0
13,22,56.0
13,23,59.0
13,24,62.0
13,25,63.0
13,26,68.0
13,28,74.0
13,29,75.0
13,30,76.0
13,32,79.0
13,34,83.0
13,35,86.0
13,36,89.0
13,37,90.0
13,38,91.0
14,1,0.0
14,2,2.0
14,3,4.0
14,4,4.0
14,5,6.0
14,6,8.0
14,7,9.0
14,8,10.0
14,9,13.0
14,10,15.0
14,11,17.0
14,12,19.0
14,13,20.0
14,14,20.0
14,15,22.0
14,16,24.0
14,17,28.0
14,18,29.0
14,19,34.0
14,20,37.0
14,21,41.0
14,22,43.0
14,23,44.0
14,24,46.0
14,25,48.0
14,26,49.0
14,27,52.0
14,28,52.0
14,29,55.0
14,30,58.0
14,32,58.0
14,34,61.0
14,35,63.0
14,36,63.0
14,37,64.0
14,38,65.0
15,1,0.0
15,2,1.0
15,3,1.0
15,4,2.0
15,5,3.0
15,6,4.0
15,7,4.0
15,8,4.0
15,9,6.0
15,10,6.0
15,11,6.0
15,12,7.0
15,13,9.0
15,14,11.0
15,15,11.0
15,16,12.0
15,17,13.0
15,18,14.0
15,19,14.0
15,20,14.0
15,21,15.0
15,22,15.0
15,23,16.0
15,24,19.0
15,25,21.0
15,26,21.0
15,27,22.0
15,28,24.0
15,29,26.0
15,30,26.0
15,31,29.0
15,32,31.0
15,33,31.0
15,34,31.0
15,35,32.0
15,36,35.0
15,37,36.0
15,38,38.0
16,1,0.0
16,2,0.0
16,3,1.0
16,4,2.0
16,5,4.0
16,6,6.0
16,7,6.0
16,8,6.0
16,9,6.0
16,10,6.0
16,11,6.0
16,12,7.0
16,13,8.0
16,14,10.0
16,15,12.0
16,16,13.0
16,17,13.0
16,18,16.0
16,19,19.0
16,20,20.0
16,21,21.0
16,22,21.0
16,23,23.0
16,24,25.0
16,25,26.0
16,26,27.0
16,27,28.0
16,28,28.0
16,29,30.0
16,30,32.0
16,32,34.0
16,33,35.0
16,34,36.0
16,35,39.0
16,36,41.0
16,37,44.0
16,38,44.0
17,1,0.0
17,2,2.0
17,3,5.0
17,4,8.0
17,5,9.0
17,6,10.0
17,7,12.0
17,8,14.0
17,9,15.0
17,10,16.0
17,11,16.0
17,12,19.0
17,13,20.0
17,14,23.0
17,15,25.0
17,16,28.0
17,17,30.0
17,18,31.0
17,19,37.0
17,20,42.0
17,21,43.0
17,22,46.0
17,23,46.0
17,24,48.0
17,25,50.0
17,26,51.0
17,27,54.0
17,28,55.0
17,29,55.0
17,30,56.0
17,32,57.0
17,34,60.0
17,35,64.0
17,36,65.0
17,37,65.0
17,38,65.0
18,1,0.0
18,2,2.0
18,3,5.0
18,4,7.0
18,5,9.0
18,6,10.0
18,7,11.0
18,8,11.0
18,9,11.0
18,10,13.0
18,11,16.0
18,12,16.0
18,13,17.0
18,14,17.0
18,15,17.0
18,16,18.0
18,17,20.0
18,18,23.0
18,19,25.0
18,20,26.0
18,21,27.0
18,22,30.0
18,23,32.0
18,24,32.0
18,25,33.0
18,26,33.0
18,27,34.0
18,28,39.0
18,29,39.0
18,30,41.0
18,32,42.0
18,34,47.0
18,35,47.0
18,36,50.0
18,37,51.0
18,38,51.0
19,1,0.0
19,2,0.0
19,3,1.0
19,4,2.0
19,5,2.0
19,6,5.0
19,7,5.0
19,8,8.0
19,9,8.0
19,10,8.0
19,11,9.0
19,12,13.0
19,13,14.0
19,14,14.0
19,15,17.0
19,16,20.0
19,17,23.0
19,18,25.0
19,19,25.0
19,20,27.0
19,21,27.0
19,22,29.0
19,23,30.0
19,24,30.0
19,25,30.0
19,26,31.0
19,27,32.0
19,28,35.0
19,29,35.0
19,30,37.0
19,31,37.0
19,32,41.0
19,33,41.0
19,34,41.0
19,35,42.0
19,36,44.0
19,37,45.0
19,38,48.0
20,1,0.0
20,2,2.0
20,3,2.0
20,4,3.0
20,5,4.0
20,6,5.0
20,7,6.0
20,8,8.0
20,9,9.0
20,10,9.0
20,11,9.0
20,12,11.0
20,13,12.0
20,14,12.0
20,15,13.0
20,16,15.0
20,17,17.0
20,18,19.0
20,19,19.0
20,20,20.0
20,21,23.0
20,22,23.0
20,23,23.0
20,24,27.0
20,25,30.0
20,26,33.0
20,27,34.0
20,28,35.0
20,29,35.0
20,30,37.0
20,32,38.0
20,34,40.0
20,35,41.0
20,36,44.0
20,37,46.0
20,38,47.0
