name,GW,total_points
Aaron_Connolly_534,4,1
Aaron_Connolly_534,5,1
Aaron_Connolly_534,6,1
Aaron_Connolly_534,7,1
Aaron_Connolly_534,8,13
Aaron_Connolly_534,9,1
Aaron_Connolly_534,10,8
Aaron_Connolly_534,11,2
Aaron_Connolly_534,12,1
Aaron_Connolly_534,13,0
Aaron_Connolly_534,14,2
Aaron_Connolly_534,15,2
Aaron_Connolly_534,16,0
Aaron_Connolly_534,17,0
Aaron_Connolly_534,18,1
Aaron_Connolly_534,19,2
Aaron_Connolly_534,20,0
Aaron_Connolly_534,21,1
Aaron_Connolly_534,22,0
Aaron_Connolly_534,23,2
Aaron_Connolly_534,24,1
Aaron_Connolly_534,25,0
Aaron_Connolly_534,26,0
Aaron_Connolly_534,27,1
Aaron_Connolly_534,28,0
Aaron_Connolly_534,29,0
Aaron_Connolly_534,30,4
Aaron_Connolly_534,31,2
Aaron_Connolly_534,32,2
Aaron_Connolly_534,33,2
Aaron_Connolly_534,34,1
Aaron_Connolly_534,35,1
Aaron_Connolly_534,36,0
Aaron_Connolly_534,37,0
Aaron_Connolly_534,38,8
Aaron_Cresswell_376,1,0
Aaron_Cresswell_376,2,0
Aaron_Cresswell_376,3,0
Aaron_Cresswell_376,4,0
Aaron_Cresswell_376,5,0
Aaron_Cresswell_376,6,14
Aaron_Cresswell_376,7,7
Aaron_Cresswell_376,8,2
Aaron_Cresswell_376,9,0
Aaron_Cresswell_376,10,2
Aaron_Cresswell_376,11,0
Aaron_Cresswell_376,12,1
Aaron_Cresswell_376,13,1
Aaron_Cresswell_376,14,14
Aaron_Cresswell_376,15,0
Aaron_Cresswell_376,16,0
Aaron_Cresswell_376,17,6
Aaron_Cresswell_376,19,0
Aaron_Cresswell_376,20,0
Aaron_Cresswell_376,21,5
Aaron_Cresswell_376,22,2
Aaron_Cresswell_376,23,2
Aaron_Cresswell_376,24,1
Aaron_Cresswell_376,25,1
Aaron_Cresswell_376,26,1
Aaron_Cresswell_376,27,1
Aaron_Cresswell_376,28,1
Aaron_Cresswell_376,29,2
Aaron_Cresswell_376,30,1
Aaron_Cresswell_376,31,1
Aaron_Cresswell_376,32,1
Aaron_Cresswell_376,33,1
Aaron_Cresswell_376,34,2
Aaron_Cresswell_376,35,6
Aaron_Cresswell_376,36,2
Aaron_Cresswell_376,37,2
Aaron_Cresswell_376,38,0
Aaron_Lennon_430,1,1
Aaron_Lennon_430,2,1
Aaron_Lennon_430,3,0
Aaron_Lennon_430,4,2
Aaron_Lennon_430,5,0
Aaron_Lennon_430,6,1
Aaron_Lennon_430,7,0
Aaron_Lennon_430,8,1
Aaron_Lennon_430,9,1
Aaron_Lennon_430,10,0
Aaron_Lennon_430,11,0
Aaron_Lennon_430,12,0
Aaron_Lennon_430,13,0
Aaron_Lennon_430,14,1
Aaron_Lennon_430,15,2
Aaron_Lennon_430,16,1
Aaron_Lennon_430,17,0
Aaron_Lennon_430,18,1
Aaron_Lennon_430,19,0
Aaron_Lennon_430,20,0
Aaron_Lennon_430,21,0
Aaron_Lennon_430,22,1
Aaron_Lennon_430,23,1
Aaron_Lennon_430,24,0
Aaron_Lennon_430,25,0
Aaron_Lennon_430,26,0
Aaron_Lennon_430,27,0
Aaron_Lennon_430,28,0
Aaron_Lennon_430,29,1
Aaron_Lennon_430,30,0
Aaron_Lennon_430,31,0
Aaron_Lennon_430,32,0
Aaron_Lennon_430,33,0
Aaron_Lennon_430,34,0
Aaron_Lennon_430,35,0
Aaron_Lennon_430,36,0
Aaron_Lennon_430,37,0
Aaron_Lennon_430,38,0
Aaron_Mooy_516,1,0
Aaron_Mooy_516,2,1
Aaron_Mooy_516,3,0
Aaron_Mooy_516,4,0
Aaron_Mooy_516,5,1
Aaron_Mooy_516,6,3
Aaron_Mooy_516,7,2
Aaron_Mooy_516,8,3
Aaron_Mooy_516,9,-2
Aaron_Mooy_516,10,0
Aaron_Mooy_516,11,0
Aaron_Mooy_516,12,0
Aaron_Mooy_516,13,2
Aaron_Mooy_516,14,2
Aaron_Mooy_516,15,8
Aaron_Mooy_516,16,2
Aaron_Mooy_516,17,2
Aaron_Mooy_516,18,2
Aaron_Mooy_516,19,2
Aaron_Mooy_516,20,11
Aaron_Mooy_516,21,2
Aaron_Mooy_516,22,0
Aaron_Mooy_516,23,2
Aaron_Mooy_516,24,10
Aaron_Mooy_516,25,2
Aaron_Mooy_516,26,2
Aaron_Mooy_516,27,2
Aaron_Mooy_516,28,2
Aaron_Mooy_516,29,3
Aaron_Mooy_516,30,0
Aaron_Mooy_516,31,3
Aaron_Mooy_516,32,1
