name,GW,fixture,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron_Connolly_534,4,37,0,0,1,0,0.1,534,1,0,0.0,0.2,24,11,0,0,0,0,4,0,0,0.0,4.0,0,1,0,0,0,45,0,0
Aaron_Connolly_534,5,43,0,0,1,0,0.3,534,1,0,2.2,1.0,6,5,0,0,0,0,5,0,14029,1.0,1.0,21,1,10589,13500,2911,45,1,0
Aaron_Connolly_534,6,58,0,0,1,0,4.8,534,0,0,2.5,2.0,20,13,0,0,0,0,6,0,22804,0.0,0.0,18,1,8090,11749,3659,45,0,0
Aaron_Connolly_534,7,63,0,0,2,0,0.6,534,1,0,0.1,0.2,25,6,0,0,0,0,7,0,32699,0.0,2.0,0,1,8437,13439,5002,45,0,0
Aaron_Connolly_534,8,72,0,3,53,1,23.8,534,0,2,20.1,70.2,79,17,0,0,0,0,8,0,35026,0.0,3.0,107,13,2156,5952,3796,45,1,0
Aaron_Connolly_534,9,81,0,0,3,0,10.6,534,1,0,3.6,4.4,45,2,0,0,0,0,9,0,110944,1.0,2.0,21,1,70802,81069,10267,45,0,0
Aaron_Connolly_534,10,92,2,0,22,0,0.3,534,2,0,0.2,0.0,79,8,0,0,0,0,10,0,146247,2.0,3.0,2,8,34969,42593,7624,46,1,0
Aaron_Connolly_534,11,104,0,0,2,1,5.8,534,0,0,4.8,0.0,85,14,0,0,0,0,11,0,263242,0.0,2.0,46,2,109148,118970,9822,46,1,0
Aaron_Connolly_534,12,115,0,0,-5,0,1.3,534,2,0,0.3,0.0,45,12,0,0,0,0,12,0,246255,1.0,3.0,4,1,-10884,18973,29857,47,0,0
Aaron_Connolly_534,14,134,0,0,-1,0,1.7,534,2,0,2.0,1.2,75,10,0,0,0,0,14,0,183813,1.0,2.0,17,2,-26463,6386,32849,47,0,0
Aaron_Connolly_534,15,141,0,0,4,0,0.3,534,1,0,3.4,6.2,75,1,0,0,0,0,15,0,179771,2.0,1.0,27,2,-5486,9676,15162,47,0,0
Aaron_Connolly_534,18,173,0,0,-1,0,1.0,534,0,0,2.4,2.2,45,15,0,0,0,0,18,0,119562,1.0,0.0,21,1,-20915,1982,22897,46,1,0
Aaron_Connolly_534,19,189,0,0,1,0,1.3,534,1,0,0.5,0.0,67,17,0,0,0,0,19,0,119037,1.0,2.0,6,2,-6317,4343,10660,46,0,0
Aaron_Connolly_534,21,202,0,0,-1,0,0.6,534,0,0,3.3,3.4,45,6,0,0,0,0,21,0,107436,1.0,1.0,29,1,-9091,6408,15499,45,1,0
Aaron_Connolly_534,23,222,0,0,4,1,10.4,534,0,0,3.8,0.0,67,2,0,0,0,0,23,0,95188,1.0,1.0,28,2,-7853,3596,11449,44,1,0
Aaron_Connolly_534,24,232,0,0,1,0,0.0,534,1,0,0.0,0.0,30,3,0,0,0,0,24,0,92573,1.0,3.0,0,1,-3091,3610,6701,44,0,0
Aaron_Connolly_534,27,268,0,0,3,0,0.0,534,0,0,0.0,0.0,15,15,0,0,0,0,27,0,94497,1.0,1.0,0,1,1722,8872,7150,43,0,0
Aaron_Connolly_534,30,293,1,0,16,0,13.3,534,0,0,3.1,17.2,19,1,0,0,0,0,39,0,132408,1.0,2.0,0,4,41747,70743,28996,42,1,0
Aaron_Connolly_534,31,303,0,0,5,1,12.2,534,0,0,7.2,6.6,81,9,0,0,0,0,40,0,148214,0.0,0.0,53,2,15063,26111,11048,42,0,0
Aaron_Connolly_534,32,314,0,0,4,0,0.1,534,3,0,1.1,1.4,86,12,0,0,0,0,41,0,165353,3.0,0.0,9,2,17822,25838,8016,42,1,0
Aaron_Connolly_534,33,327,0,0,5,1,0.8,534,0,0,2.4,0.0,71,14,0,0,0,0,42,0,202545,1.0,0.0,24,2,23879,36267,12388,42,0,0
Aaron_Connolly_534,34,334,0,0,0,0,0.1,534,1,0,0.4,0.0,19,10,0,0,0,0,43,0,193857,3.0,1.0,6,1,-342,18924,19266,42,1,0
Aaron_Connolly_534,35,343,0,0,-1,0,1.1,534,4,0,0.2,0.0,58,11,0,0,0,0,44,0,214879,5.0,0.0,2,1,13820,29289,15469,42,1,0
Aaron_Connolly_534,38,372,0,2,27,0,0.9,534,1,1,12.4,34.4,89,5,0,0,0,0,47,0,226980,2.0,1.0,89,8,7866,23639,15773,42,0,0
Aaron_Cresswell_376,1,8,0,0,7,0,1.5,376,5,0,1.1,9.0,90,11,0,0,0,0,1,0,23399,5.0,0.0,0,0,0,0,0,50,1,0
Aaron_Cresswell_376,6,60,0,2,27,1,2.2,376,0,1,5.6,43.8,90,12,0,0,0,0,6,0,21523,0.0,2.0,10,14,-1053,451,1504,49,1,0
Aaron_Cresswell_376,7,62,0,0,20,0,3.9,376,2,1,8.8,40.8,90,3,0,0,0,0,7,0,46782,2.0,2.0,43,7,22176,24766,2590,49,0,0
Aaron_Cresswell_376,8,80,0,0,16,0,1.3,376,1,0,1.8,13.0,83,7,0,0,0,0,8,0,167821,2.0,1.0,4,2,106465,111664,5199,49,1,0
Aaron_Cresswell_376,10,100,0,0,10,0,3.8,376,1,0,4.2,17.4,90,15,0,0,0,0,10,0,135473,1.0,1.0,21,2,-17348,3608,20956,50,1,0
Aaron_Cresswell_376,11,110,0,0,11,0,7.8,376,3,0,1.9,7.4,90,13,0,0,0,0,11,0,140056,3.0,2.0,4,0,2389,11799,9410,49,1,1
Aaron_Cresswell_376,12,111,0,0,10,0,13.5,376,3,0,5.1,15.0,90,5,0,0,0,0,12,0,120953,0.0,3.0,22,1,-18203,1960,20163,49,0,0
Aaron_Cresswell_376,13,130,0,0,12,0,12.9,376,3,0,4.2,21.2,90,17,0,0,0,0,13,0,101445,3.0,2.0,8,1,-20031,1343,21374,48,1,0
