name,GW,total_points
Aaron_Connolly_534,4,1
Aaron_Connolly_534,5,1
Aaron_Connolly_534,6,1
Aaron_Connolly_534,7,1
Aaron_Connolly_534,8,13
Aaron_Connolly_534,9,1
Aaron_Connolly_534,10,8
Aaron_Connolly_534,11,2
Aaron_Connolly_534,12,1
Aaron_Connolly_534,14,2
Aaron_Connolly_534,15,2
Aaron_Connolly_534,18,1
Aaron_Connolly_534,19,2
Aaron_Connolly_534,21,1
Aaron_Connolly_534,23,2
Aaron_Connolly_534,24,1
Aaron_Connolly_534,27,1
Aaron_Connolly_534,30,4
Aaron_Connolly_534,31,2
Aaron_Connolly_534,32,2
Aaron_Connolly_534,33,2
Aaron_Connolly_534,34,1
Aaron_Connolly_534,35,1
Aaron_Connolly_534,38,8
Aaron_Cresswell_376,1,0
Aaron_Cresswell_376,6,14
Aaron_Cresswell_376,7,7
Aaron_Cresswell_376,8,2
Aaron_Cresswell_376,10,2
Aaron_Cresswell_376,11,0
Aaron_Cresswell_376,12,1
Aaron_Cresswell_376,13,1
Aaron_Cresswell_376,14,14
Aaron_Cresswell_376,15,0
Aaron_Cresswell_376,16,0
Aaron_Cresswell_376,17,6
Aaron_Cresswell_376,19,0
Aaron_Cresswell_376,21,5
Aaron_Cresswell_376,22,2
Aaron_Cresswell_376,23,2
Aaron_Cresswell_376,24,0
Aaron_Cresswell_376,24,1
Aaron_Cresswell_376,25,1
Aaron_Cresswell_376,26,1
Aaron_Cresswell_376,27,1
Aaron_Cresswell_376,28,1
Aaron_Cresswell_376,29,2
Aaron_Cresswell_376,30,1
Aaron_Cresswell_376,31,1
Aaron_Cresswell_376,32,1
Aaron_Cresswell_376,33,1
Aaron_Cresswell_376,34,2
Aaron_Cresswell_376,35,6
Aaron_Cresswell_376,36,2
Aaron_Cresswell_376,37,2
Aaron_Lennon_430,1,1
Aaron_Lennon_430,2,1
Aaron_Lennon_430,3,0
Aaron_Lennon_430,4,2
Aaron_Lennon_430,5,0
Aaron_Lennon_430,6,1
Aaron_Lennon_430,8,1
Aaron_Lennon_430,9,1
Aaron_Lennon_430,14,1
Aaron_Lennon_430,15,2
Aaron_Lennon_430,16,1
Aaron_Lennon_430,18,1
Aaron_Lennon_430,22,1
Aaron_Lennon_430,23,1
Aaron_Lennon_430,27,0
Aaron_Lennon_430,29,1
Aaron_Mooy_516,2,1
Aaron_Mooy_516,5,1
Aaron_Mooy_516,6,3
Aaron_Mooy_516,7,2
Aaron_Mooy_516,8,3
Aaron_Mooy_516,9,-2
Aaron_Mooy_516,13,2
Aaron_Mooy_516,14,2
Aaron_Mooy_516,15,8
Aaron_Mooy_516,16,2
Aaron_Mooy_516,17,2
Aaron_Mooy_516,18,2
Aaron_Mooy_516,19,2
Aaron_Mooy_516,20,11
Aaron_Mooy_516,21,2
Aaron_Mooy_516,23,2
Aaron_Mooy_516,24,10
Aaron_Mooy_516,25,2
Aaron_Mooy_516,26,2
Aaron_Mooy_516,27,2
Aaron_Mooy_516,28,2
Aaron_Mooy_516,29,3
Aaron_Mooy_516,30,0
Aaron_Mooy_516,31,3
Aaron_Mooy_516,32,1
Aaron_Mooy_516,33,6
Aaron_Mooy_516,34,1
Aaron_Mooy_516,35,2
Aaron_Mooy_516,36,1
Aaron_Mooy_516,37,1
Aaron_Mooy_516,38,1
Aaron_Ramsdale_494,1,2
Aaron_Ramsdale_494,2,4
Aaron_Ramsdale_494,3,1
Aaron_Ramsdale_494,4,1
Aaron_Ramsdale_494,5,3
Aaron_Ramsdale_494,6,10
Aaron_Ramsdale_494,7,2
Aaron_Ramsdale_494,8,2
Aaron_Ramsdale_494,9,6
Aaron_Ramsdale_494,10,8
Aaron_Ramsdale_494,11,9
Aaron_Ramsdale_494,12,4
Aaron_Ramsdale_494,13,2
Aaron_Ramsdale_494,14,1
Aaron_Ramsdale_494,15,2
Aaron_Ramsdale_494,16,3
Aaron_Ramsdale_494,17,10
Aaron_Ramsdale_494,18,2
Aaron_Ramsdale_494,19,2
Aaron_Ramsdale_494,20,2
Aaron_Ramsdale_494,21,1
Aaron_Ramsdale_494,23,3
Aaron_Ramsdale_494,24,4
Aaron_Ramsdale_494,25,3
Aaron_Ramsdale_494,26,2
Aaron_Ramsdale_494,27,3
Aaron_Ramsdale_494,28,2
Aaron_Ramsdale_494,29,2
Aaron_Ramsdale_494,30,1
Aaron_Ramsdale_494,31,2
Aaron_Ramsdale_494,32,1
Aaron_Ramsdale_494,33,2
Aaron_Ramsdale_494,34,6
Aaron_Ramsdale_494,35,3
Aaron_Ramsdale_494,36,1
Aaron_Ramsdale_494,37,11
